     K06J26Y* C2006 05 06.35516 14 17 08.91 -06 47 25.2          18.0 Vrr1457703
     K06J26Y  C2006 05 06.35565 14 17 07.94 -06 47 26.8          18.1 Vrr1457703
     K06J26Y  C2006 05 06.35615 14 17 07.00 -06 47 28.8          19.6 Vrr1457703
     K06J26Y  C2006 05 06.35675 14 17 05.92 -06 47 31.4          19.6 Vrr1457703
     K06J26Y  C2006 05 06.39729 14 15 49.46 -06 50 45.4          18.6 Vrr1457703
     K06J26Y  C2006 05 06.39793 14 15 48.24 -06 50 47.9          18.4 Vrr1457703
     K06J26Y  C2006 05 06.39851 14 15 47.16 -06 50 51.0          19.1 Vrr1457703
     K06J26Y  C2006 05 06.39910 14 15 46.00 -06 50 53.5          17.9 Vrr1457703
     K06J26Y  C2006 05 06.42749 14 14 53.62 -06 53 06.6          18.9 Vrr1457703
     K06J26Y  C2006 05 06.42826 14 14 52.15 -06 53 12.4          19.0 Vrr1457703
     K06J26Y  C2006 05 06.42892 14 14 51.07 -06 53 13.4          18.9 Vrr1457703
     K06J26Y  C2006 05 06.42959 14 14 49.77 -06 53 16.4          18.5 Vrr1457703
     K06J26Y  C2006 05 06.44808 14 14 15.89 -06 54 28.2          18.8 Rcr1457651
     K06J26Y  C2006 05 06.44989 14 14 12.63 -06 54 36.3          19.2 Rcr1457651
     K06J26Y  C2006 05 06.45169 14 14 09.41 -06 54 45.5          18.7 Rcr1457651
     K06J26Y  C2006 05 07.26039 13 49 35.83 -08 23 06.2          18.3 Vrr1457703
     K06J26Y  C2006 05 07.26122 13 49 33.52 -08 23 11.5          18.9 Vrr1457703
     K06J26Y  C2006 05 07.26194 13 49 31.44 -08 23 16.0          18.5 Vrr1457703
     K06J26Y  C2006 05 07.26266 13 49 29.28 -08 23 22.8          17.9 Vrr1457703
     K06J26Y  C2006 05 07.30126 13 47 36.30 -08 28 11.5          17.9 Vrr1457703
     K06J26Y  C2006 05 07.30164 13 47 35.15 -08 28 13.7                rr1457703
     K06J26Y  C2006 05 07.30198 13 47 34.04 -08 28 17.6                rr1457703
     K06J26Y  C2006 05 07.30233 13 47 33.09 -08 28 19.6                rr1457703
     K06J26Y 5C2006 05 08.16015 13 05 06.79 -10 41 20.6          18.6 Ror1457673
     K06J26Y 5C2006 05 08.16645 13 04 38.17 -10 42 35.4                or1457673
     K06J26Y 5C2006 05 08.18176 13 03 27.38 -10 45 36.4                or1457673
     K06J26Y 5C2006 05 08.19031 13 02 47.40 -10 47 16.2          18.2 Ror1457673
     K06J26Y  C2006 05 08.19075 13 02 32.46 -10 46 42.4          17.6 Vrr1457G96
     K06J26Y  C2006 05 08.19100 13 02 31.30 -10 46 45.5          17.4 Vrr1457G96
     K06J26Y  C2006 05 08.19124 13 02 30.08 -10 46 48.0          17.4 Vrr1457G96
     K06J26Y  C2006 05 08.19150 13 02 28.96 -10 46 50.8          17.7 Vrr1457G96
