     K07F03T* C2007 03 20.45448 16 43 08.22 -20 11 43.7          19.0 Vru4833G96
     K07F03T  C2007 03 20.45722 16 43 09.30 -20 12 07.6          18.7 Vru4833G96
     K07F03T  C2007 03 20.45993 16 43 10.38 -20 12 30.9          19.0 Vru4833G96
     K07F03T  C2007 03 20.46266 16 43 11.42 -20 12 54.2          18.9 Vru4833G96
     K07F03T  C2007 03 20.52848 16 43 37.28 -20 22 20.2          17.2 Vru4833G96
     K07F03T  C2007 03 20.52933 16 43 37.56 -20 22 28.3          17.7 Vru4833G96
     K07F03T  C2007 03 20.52976 16 43 37.81 -20 22 31.4          17.9 Vru4833G96
     K07F03T  C2007 03 21.40242 16 49 52.45 -22 30 55.0                ru4833G96
     K07F03T  C2007 03 21.40302 16 49 52.75 -22 31 00.9                ru4833G96
     K07F03T  C2007 03 21.40407 16 49 53.20 -22 31 09.9                ru4833G96
     K07F03T  C2007 03 21.42001 16 50 00.04 -22 33 35.3          19.5 Vru4833G96
     K07F03T  C2007 03 21.42043 16 50 00.20 -22 33 38.9          19.0 Vru4833G96
     K07F03T  C2007 03 21.68501 16 51 58.36 -23 12 56.7          19.4 Rou4833474
     K07F03T  C2007 03 21.68686 16 51 59.13 -23 13 13.7          19.3 Rou4833474
