     K07K04E* C2007 05 24.32711 15 14 42.68 +00 31 55.4          18.0 Vrv0197703
     K07K04E  C2007 05 24.33310 15 14 48.62 +00 29 39.8          18.6 Vrv0197703
     K07K04E  C2007 05 24.33913 15 14 54.78 +00 27 23.3          18.5 Vrv0197703
     K07K04E  C2007 05 24.34515 15 15 00.86 +00 25 08.4          18.0 Vrv0197703
     K07K04E  C2007 05 24.36968 15 15 25.95 +00 15 49.3          18.2 Vrv0197703
     K07K04E  C2007 05 24.37004 15 15 26.31 +00 15 40.5          18.2 Vrv0197703
     K07K04E  C2007 05 24.37040 15 15 26.67 +00 15 31.9          18.3 Vrv0197703
     K07K04E  C2007 05 24.37077 15 15 27.03 +00 15 23.7          18.3 Vrv0197703
     K07K04E  C2007 05 24.40215 15 15 59.83 +00 03 23.1          18.1 Vrv0197703
     K07K04E  C2007 05 24.40251 15 16 00.19 +00 03 14.6          18.3 Vrv0197703
     K07K04E  C2007 05 24.40287 15 16 00.62 +00 03 06.3          18.4 Vrv0197703
     K07K04E  C2007 05 24.85201 15 25 31.20 -03 03 24.6          18.3 Vcv0197595
     K07K04E  C2007 05 24.85695 15 25 37.36 -03 05 35.8          18.3 Vcv0197595
     K07K04E  C2007 05 24.86130 15 25 42.68 -03 07 32.3          18.1 Vcv0197595
     K07K04E  C2007 05 24.88595 15 26 12.67 -03 18 41.4          18.5 Vov0197A44
     K07K04E  C2007 05 24.88925 15 26 16.77 -03 20 09.4          18.6 Vov0197A44
     K07K04E  C2007 05 24.89248 15 26 20.76 -03 21 36.5          18.1 Vov0197A44
     K07K04E  C2007 05 24.89577 15 26 24.83 -03 23 05.0          18.3 Vov0197A44
     K07K04E  C2007 05 24.89904 15 26 28.85 -03 24 32.9          18.6 Vov0197A44
     K07K04E  C2007 05 24.91532 15 26 52.68 -03 32 03.3                rv0197J95
     K07K04E  C2007 05 24.91647 15 26 54.16 -03 32 34.7                rv0197J95
     K07K04E  C2007 05 24.91762 15 26 55.57 -03 33 05.3          17.9 Rrv0197J95
     K07K04E  C2007 05 24.92496 15 27 01.22 -03 36 05.8          18.1 Rrv0197473
     K07K04E  C2007 05 24.92812 15 27 05.15 -03 37 31.8          18.3 Rrv0197473
     K07K04E  C2007 05 24.93128 15 27 09.09 -03 38 57.8          18.3 Rrv0197473
     K07K04E  C2007 05 25.14270 15 32 07.83 -05 17 39.2          18.1 Rrv0471932
     K07K04E  C2007 05 25.16521 15 32 37.95 -05 28 34.7          17.7 Rrv0471932
     K07K04E  C2007 05 25.17212 15 32 47.25 -05 31 56.9          18.1 Rrv0471932
     K07K04E  C2007 05 25.92334 15 53 40.94 -12 21 39.0          17.5 Vrv0471A17
     K07K04E  C2007 05 25.92997 15 53 52.78 -12 25 39.3          17.3 Vrv0471A17
     K07K04E  C2007 05 25.93615 15 54 03.86 -12 29 23.4          17.4 Vrv0471A17
