     K07K04O* C2007 05 22.26517 14 30 00.57 -01 32 31.7          20.7 Vrv0197G96
     K07K04O  C2007 05 22.27149 14 29 57.98 -01 33 06.0          21.1 Vrv0197G96
     K07K04O  C2007 05 22.27784 14 29 55.39 -01 33 40.6          20.9 Vrv0197G96
     K07K04O  C2007 05 22.28419 14 29 52.80 -01 34 14.4          20.9 Vrv0197G96
     K07K04O  C2007 05 22.32161 14 29 37.60 -01 37 35.6                rv0197G96
     K07K04O  C2007 05 22.33705 14 29 31.30 -01 38 59.3                rv0197G96
     K07K04O  C2007 05 22.34476 14 29 28.21 -01 39 40.6                rv0197G96
     K07K04O  C2007 05 22.36540 14 29 19.78 -01 41 33.1                rv0197G96
     K07K04O  C2007 05 22.36961 14 29 18.09 -01 41 55.2                rv0197G96
     K07K04O  C2007 05 22.37395 14 29 16.29 -01 42 19.9                rv0197G96
     K07K04O  C2007 05 25.27013 14 10 14.98 -06 08 41.2          21.3 Vrv0197G96
     K07K04O  C2007 05 25.27066 14 10 14.77 -06 08 43.2          21.3 Vrv0197G96
     K07K04O  C2007 05 25.27119 14 10 14.55 -06 08 46.1          21.3 Vrv0197G96
     K07K04O  C2007 05 25.27172 14 10 14.37 -06 08 49.3          21.1 Vrv0197G96
