     K07U06D* C2007 10 20.29569 02 12 32.14 +11 02 00.0          17.3 Vrw2637703
     K07U06D  C2007 10 20.30382 02 12 45.39 +11 01 16.8          17.2 Vrw2637703
     K07U06D  C2007 10 20.31194 02 12 58.35 +11 00 32.6          17.3 Vrw2637703
     K07U06D  C2007 10 20.32008 02 13 11.28 +10 59 48.5          17.3 Vrw2637703
     K07U06D  C2007 10 20.35363 02 14 02.72 +10 57 03.2          17.1 Rcw2637651
     K07U06D  C2007 10 20.35415 02 14 03.51 +10 57 00.3          16.9 Rcw2637651
     K07U06D  C2007 10 20.35467 02 14 04.29 +10 56 57.2          17.2 Rcw2637651
     K07U06D  C2007 10 20.36357802 13 51.32 +10 52 15.6          18.0 Vow2637H55
     K07U06D  C2007 10 20.36604402 13 55.40 +10 52 01.0          18.2 Vow2637H55
     K07U06D  C2007 10 20.36837302 13 59.26 +10 51 47.4          18.3 Vow2637H55
     K07U06D  C2007 10 20.37548 02 14 19.42 +10 51 37.2          17.4 Rrw2637734
     K07U06D  C2007 10 20.37730 02 14 22.44 +10 51 28.1          17.7 Rrw2637734
     K07U06D  C2007 10 20.37999 02 14 26.78 +10 51 10.5          17.5 Rrw2637734
     K07U06D  C2007 10 20.47723 02 17 08.30 +10 45 01.2          17.7 Vrw2637703
     K07U06D  C2007 10 20.47765 02 17 08.95 +10 44 58.8          17.4 Vrw2637703
     K07U06D  C2007 10 20.47806 02 17 09.60 +10 44 56.7          17.8 Vrw2637703
     K07U06D  C2007 10 20.47846 02 17 10.24 +10 44 54.4          17.8 Vrw2637703
     K07U06D  C2007 10 20.78502 02 26 56.75 +10 20 09.6          19.4 Vcw2637595
     K07U06D  C2007 10 20.79402 02 27 06.94 +10 19 48.8          17.8 Vcw2637595
     K07U06D  C2007 10 20.80391 02 27 16.07 +10 18 17.0          18.2 Vrw2637A17
     K07U06D  C2007 10 20.81000 02 27 22.80 +10 18 03.4          18.5 Vrw2637A17
     K07U06D  C2007 10 20.81641 02 27 29.80 +10 17 48.4          18.1 Vrw2637A17
     K07U06D  C2007 10 20.81989 02 27 34.70 +10 18 44.5          18.0 Rrw2637473
     K07U06D  C2007 10 20.82258 02 27 37.40 +10 18 37.4          17.6 Rrw2637473
     K07U06D  C2007 10 20.83559 02 27 52.80 +10 17 54.6          18.2 Rrw2637143
     K07U06D  C2007 10 20.84150 02 27 58.76 +10 17 41.2          18.2 Rrw2637143
     K07U06D  C2007 10 20.91598 02 29 06.44 +10 14 46.0                rw2637204
     K07U06D  C2007 10 20.91884 02 29 08.78 +10 14 39.1                rw2637204
     K07U06D  C2007 10 20.92209 02 29 11.43 +10 14 30.5                rw2637204
     K07U06D  C2007 10 20.92546 02 29 14.15 +10 14 22.2                rw2637204
     K07U06D  C2007 10 20.92850 02 29 16.61 +10 14 14.4          18.0 Rrw2637204
     K07U06D  C2007 10 20.99932 02 30 08.06 +10 11 43.3          18.5 Vdw2637B33
     K07U06D  C2007 10 21.00640 02 30 13.02 +10 11 23.7          18.4 Vdw2637B33
     K07U06D  C2007 10 21.07227 02 32 10.06 +10 07 54.8          18.5 Rrw2637932
     K07U06D  C2007 10 21.09101 02 32 24.18 +10 07 19.8          18.2 Rrw2637932
     K07U06D  C2007 10 21.10620 02 32 35.00 +10 06 50.2          18.7 Rrw2637932
     K07U06D  C2007 10 21.86497 02 41 35.33 +09 41 00.1          18.9 Rrw2637143
     K07U06D  C2007 10 21.87327 02 41 38.44 +09 40 51.4          18.9 Rrw2637143
     K07U06D  C2007 10 22.29158602 44 27.25 +09 33 18.1          19.9 Vow2637H55
     K07U06D  C2007 10 22.29601202 44 28.08 +09 33 12.3          19.7 Vow2637H55
     K07U06D  C2007 10 22.29979302 44 28.85 +09 33 07.4          19.9 Vow2637H55
     K07U06D  C2007 10 23.28212 02 50 08.49 +09 18 52.4          20.5 Vow2637291
     K07U06D  C2007 10 23.28739 02 50 08.83 +09 18 49.0          20.4 Vow2637291
     K07U06D  C2007 10 23.29163 02 50 09.11 +09 18 46.8          20.4 Vow2637291
     K07U06D  C2007 11 02.21506003 02 03.64 +08 43 45.6          22.8 Vow5095H55
     K07U06D  C2007 11 02.23121303 02 02.97 +08 43 45.5          22.8 Vow5095H55
     K07U06D  C2007 11 02.24908003 02 02.21 +08 43 45.4          22.7 Vow5095H55
     K07U06D  C2007 11 03.26329 03 02 16.04 +08 43 53.9          21.2 Vrw5095G96
     K07U06D  C2007 11 03.27464 03 02 15.57 +08 43 53.6          20.9 Vrw5095G96
     K07U06D  C2007 11 03.29751 03 02 14.46 +08 43 54.1          22.8 Vrw5095G96
