     K07W03T* C2007 11 18.29804 03 57 49.71 +10 41 18.4          19.6 Vrw8448G96
     K07W03T  C2007 11 18.30610 03 57 47.77 +10 41 19.3          19.7 Vrw8448G96
     K07W03T  C2007 11 18.31418 03 57 45.82 +10 41 20.2          19.4 Vrw8448G96
     K07W03T  C2007 11 18.32222 03 57 43.88 +10 41 20.9          19.7 Vrw8448G96
     K07W03T  C2007 11 18.38645 03 57 28.76 +10 41 25.4          19.6 Vrw8448G96
     K07W03T  C2007 11 18.39205 03 57 27.50 +10 41 25.6          19.7 Vrw8448G96
     K07W03T  C2007 11 18.39771 03 57 26.20 +10 41 25.6          19.7 Vrw8448G96
     K07W03T  C2007 11 18.40325 03 57 24.94 +10 41 25.9          19.8 Vrw8448G96
     K07W03T  C2007 11 19.27255 03 54 54.57 +10 42 46.2          19.8 Vrw8448G96
     K07W03T  C2007 11 19.27484 03 54 54.14 +10 42 46.6          20.1 Vrw8448G96
     K07W03T  C2007 11 19.27717 03 54 53.71 +10 42 46.8          19.9 Vrw8448G96
     K07W03T  C2007 11 19.27952 03 54 53.24 +10 42 47.2          20.0 Vrw8448G96
     K07W03T  C2007 11 20.30058 03 52 27.42 +10 44 18.1                ow9263291
     K07W03T  C2007 11 20.30455 03 52 26.80 +10 44 18.4                ow9263291
     K07W03T  C2007 11 20.30856 03 52 26.18 +10 44 18.5                ow9263291
     K07W03T  C2007 11 30.14073903 42 38.56 +11 02 43.7          22.1 Vow9263H55
     K07W03T  C2007 11 30.15817103 42 37.98 +11 02 47.2          22.1 Vow9263H55
     K07W03T  C2007 11 30.17715103 42 37.29 +11 02 50.5          22.2 Vow9263H55
