     K08B15C* C2008 01 30.31193 09 05 35.98 +17 13 38.2          17.6 Vrx5580703
     K08B15C  C2008 01 30.31937 09 05 40.84 +17 11 23.4          17.9 Vrx5580703
     K08B15C  C2008 01 30.32681 09 05 45.85 +17 09 07.1          17.9 Vrx5580703
     K08B15C  C2008 01 30.33424 09 05 50.89 +17 06 47.6          17.8 Vrx5580703
     K08B15C  C2008 01 30.37130 09 06 16.99 +16 54 46.4          17.8 Vrx5580703
     K08B15C  C2008 01 30.37214 09 06 17.56 +16 54 29.3          17.7 Vrx5580703
     K08B15C  C2008 01 30.37299 09 06 18.18 +16 54 12.2          17.9 Vrx5580703
     K08B15C  C2008 01 30.37385 09 06 18.86 +16 53 54.3          17.7 Vrx5581703
     K08B15C  C2008 01 30.39241 09 06 26.33 +16 46 08.4          17.9 Rrx5581734
     K08B15C  C2008 01 30.39347 09 06 27.22 +16 45 44.2          17.7 Rrx5581734
     K08B15C  C2008 01 30.39525 09 06 28.66 +16 45 07.3          18.0 Rrx5581734
     K08B15C  C2008 01 30.39740 09 06 30.36 +16 44 20.2          17.5 Rrx5581734
     K08B15C  C2008 01 30.43929 09 07 10.95 +16 30 18.3          17.4 Vrx5581703
     K08B15C  C2008 01 30.44015 09 07 11.67 +16 29 58.1          17.6 Vrx5581703
     K08B15C  C2008 01 30.44101 09 07 12.43 +16 29 39.2          17.6 Vrx5581703
     K08B15C  C2008 01 30.44188 09 07 13.22 +16 29 18.0          17.6 Vrx5581703
     K08B15C  C2008 01 30.48340 09 07 51.67 +16 12 36.1          17.5 Vrx5581703
     K08B15C  C2008 01 30.48395 09 07 52.21 +16 12 22.4          17.5 Vrx5581703
     K08B15C  C2008 01 30.48449 09 07 52.96 +16 12 09.0                rx5581703
     K08B15C  C2008 01 30.48502 09 07 53.23 +16 11 55.7          17.5 Vrx5581703
     K08B15C  C2008 01 30.72437 09 13 44.29 +14 22 36.2                rx5581E12
     K08B15C  C2008 01 31.27071 09 57 57.33 -02 03 19.6          15.3 Vrx5581G96
     K08B15C  C2008 01 31.27091 09 57 59.54 -02 04 13.4          15.3 Vrx5581G96
     K08B15C  C2008 01 31.27110 09 58 01.74 -02 05 07.2          15.2 Vrx5581G96
     K08B15C  C2008 01 31.27133 09 58 04.11 -02 06 05.5          15.2 Vrx5581G96
