     K08C00J* C2008 02 02.24586 08 46 08.65 +18 28 33.8          20.9 Vrx6411G96
     K08C00J  C2008 02 02.25154 08 46 16.06 +18 28 28.9          20.8 Vrx6411G96
     K08C00J  C2008 02 02.25723 08 46 23.55 +18 28 24.0          20.7 Vrx6411G96
     K08C00J  C2008 02 02.26296 08 46 30.97 +18 28 18.7          20.7 Vrx6411G96
     K08C00J  C2008 02 02.28484 08 46 59.55 +18 27 58.2          20.8 Vrx6411G96
     K08C00J  C2008 02 02.28532 08 47 00.24 +18 27 57.9          20.6 Vrx6411G96
     K08C00J  C2008 02 02.28580 08 47 00.85 +18 27 57.4          20.6 Vrx6411G96
     K08C00J  C2008 02 02.28627 08 47 01.39 +18 27 57.0          20.8 Vrx6411G96
     K08C00J  C2008 02 02.42796 08 50 07.51 +18 25 12.3          20.8 Vrx6411G96
     K08C00J  C2008 02 02.42904 08 50 09.02 +18 25 10.9          21.6 Vrx6411G96
     K08C00J  C2008 02 03.28990409 10 20.61 +18 05 01.1          20.6 Vox6411H55
     K08C00J  C2008 02 03.29512009 10 27.69 +18 04 53.0          20.7 Vox6411H55
     K08C00J  C2008 02 03.29990109 10 33.84 +18 04 43.3          20.6 Vox6411H55
