     K08E84Z* C2008 03 12.43046 15 19 38.71 +43 07 06.6          18.7 Vry3631703
     K08E84Z  C2008 03 12.43709 15 19 25.32 +43 09 58.7          19.3 Vry3631703
     K08E84Z  C2008 03 12.44389 15 19 11.60 +43 12 50.6          18.6 Vry3631703
     K08E84Z  C2008 03 12.45076 15 18 57.78 +43 15 45.0          19.2 Vry3631703
     K08E84Z  C2008 03 12.46646 15 18 26.61 +43 22 14.8                ry3631703
     K08E84Z  C2008 03 12.46734 15 18 25.15 +43 22 31.8          19.9 Vry3631703
     K08E84Z  C2008 03 12.46821 15 18 23.10 +43 22 57.9                ry3631703
     K08E84Z  C2008 03 12.46909 15 18 21.48 +43 23 15.9          19.5 Vry3631703
     K08E84Z  C2008 03 12.50863 15 17 02.96 +43 39 07.1          19.1 Vry3631703
     K08E84Z  C2008 03 12.50917 15 17 02.29 +43 39 14.7          18.2 Vry3631703
     K08E84Z  C2008 03 12.50970 15 17 01.19 +43 39 30.0          19.0 Vry3631703
     K08E84Z  C2008 03 12.51023 15 17 00.01 +43 39 41.4          18.7 Vry3631703
     K08E84Z  C2008 03 13.44357 14 55 43.18 +48 19 32.9          19.4 Vry3631703
     K08E84Z  C2008 03 13.45265 14 55 30.19 +48 21 36.6          19.7 Vry3631703
     K08E84Z  C2008 03 13.45317 14 55 29.36 +48 21 43.4          19.7 Vry3631703
     K08E84Z  C2008 03 15.11701 14 30 18.11 +52 32 01.7                cy3631118
     K08E84Z  C2008 03 15.12783 14 30 08.92 +52 33 05.0                cy3631118
