     K08G01F* C2008 04 05.30620 12 59 18.13 -05 06 41.5          19.9 Vry5886G96
     K08G01F  C2008 04 05.31229 12 59 13.70 -05 06 39.3          19.9 Vry5886G96
     K08G01F  C2008 04 05.31841 12 59 09.16 -05 06 37.0          19.9 Vry5886G96
     K08G01F  C2008 04 05.32455 12 59 04.48 -05 06 35.7          18.9 Vry5886G96
     K08G01F  C2008 04 05.35896 12 58 38.82 -05 06 19.1          20.2 Vry5886G96
     K08G01F  C2008 04 05.36743 12 58 32.41 -05 06 15.3          19.9 Vry5886G96
     K08G01F  C2008 04 05.37583 12 58 26.04 -05 06 11.1          20.0 Vry5886G96
     K08G01F  C2008 04 05.38423 12 58 19.59 -05 06 06.8          20.0 Vry5886G96
     K08G01F  C2008 04 05.40665 12 57 59.06 -05 06 28.8          19.4 Rry5886734
     K08G01F  C2008 04 05.41026 12 57 56.43 -05 06 26.7          19.9 Rry5886734
     K08G01F  C2008 04 05.42106 12 57 48.53 -05 06 20.4          19.6 Rry5886734
     K08G01F  C2008 04 05.97062 12 50 34.65 -05 02 51.6                ry5886J95
     K08G01F  C2008 04 05.97481 12 50 29.34 -05 02 49.4          19.4 Rry5886J95
     K08G01F  C2008 04 06.05318 12 48 45.77 -05 01 48.2                ry5886J95
     K08G01F  C2008 04 06.05527 12 48 42.85 -05 01 46.5          19.0 Rry5886J95
     K08G01F  C2008 04 06.99402012 05 11.92 -04 28 03.4                ry5886J95
     K08G01F  C2008 04 06.99503212 05 05.13 -04 27 58.1                ry5886J95
     K08G01F  C2008 04 06.99615912 04 57.52 -04 27 51.5          17.6 Rry5886J95
