     K08S07T* C2008 09 24.29993 01 18 27.50 +16 17 18.6          20.2 Vrz6852G96
     K08S07T  C2008 09 24.30731 01 18 26.74 +16 17 17.4          20.2 Vrz6852G96
     K08S07T  C2008 09 24.31475 01 18 25.95 +16 17 15.4          20.1 Vrz6852G96
     K08S07T  C2008 09 24.32218 01 18 25.20 +16 17 13.9          20.1 Vrz6852G96
     K08S07T  C2008 09 24.36819 01 18 20.30 +16 17 02.4          20.3 Vrz6852G96
     K08S07T  C2008 09 24.37540 01 18 17.83 +16 16 47.5          20.7 Voz6852H55
     K08S07T  C2008 09 24.37579 01 18 19.52 +16 17 03.7          19.7 Vrz6852G96
     K08S07T  C2008 09 24.38339 01 18 18.70 +16 16 58.2          20.3 Vrz6852G96
     K08S07T  C2008 09 24.38349 01 18 17.00 +16 16 44.9          20.4 Voz6852H55
     K08S07T  C2008 09 24.39105 01 18 17.91 +16 16 59.5          19.9 Vrz6852G96
     K08S07T  C2008 09 24.39133 01 18 17.93 +16 16 56.7          20.4 Voz6852291
     K08S07T  C2008 09 24.39237 01 18 16.19 +16 16 42.0          20.7 Voz6852H55
     K08S07T  C2008 09 24.39529 01 18 17.50 +16 16 55.7          20.4 Voz6852291
     K08S07T  C2008 09 24.39949 01 18 17.06 +16 16 54.4          20.4 Voz6852291
     K08S07T  C2008 09 24.40155 01 18 16.81 +16 16 57.5          19.8 Vrz6852G96
     K08S07T  C2008 09 24.41010 01 18 15.92 +16 16 55.5          20.1 Vrz6852G96
     K08S07T  C2008 09 24.41866 01 18 15.02 +16 16 47.7          20.1 Vrz6852G96
     K08S07T  C2008 09 24.42728 01 18 14.15 +16 16 44.9          19.9 Vrz6852G96
     K08S07T  C2008 09 24.43868 01 18 12.99 +16 16 41.2          20.3 Vrz6852G96
     K08S07T  C2008 09 24.44731 01 18 12.16 +16 16 40.8          20.0 Vrz6852G96
     K08S07T  C2008 09 24.45582 01 18 11.30 +16 16 39.8          20.3 Vrz6852G96
     K08S07T  C2008 09 24.46450 01 18 10.44 +16 16 36.0          20.4 Vrz6852G96
     K08S07T  C2008 09 25.23601 01 17 23.08 +16 13 11.9          20.5 Voz6852291
     K08S07T  C2008 09 25.24043 01 17 22.66 +16 13 10.9          20.5 Voz6852291
     K08S07T  C2008 09 25.25105 01 17 21.67 +16 13 09.3          20.5 Voz6852291
     K08S07T  C2008 09 25.37539 01 17 09.45 +16 12 39.0          20.6 Vrz6852G96
     K08S07T  C2008 09 25.38333 01 17 08.66 +16 12 36.3          20.5 Vrz6852G96
     K08S07T  C2008 09 25.39125 01 17 07.90 +16 12 34.3          20.2 Vrz6852G96
     K08S07T  C2008 09 25.39927 01 17 07.00 +16 12 32.9          19.4 Vrz6852G96
     K08S07T  C2008 09 25.51233 01 17 02.54 +16 13 37.8          19.8 Roz6852474
     K08S07T  C2008 09 25.51985 01 17 01.80 +16 13 36.7          19.4 Roz6852474
     K08S07T  C2008 09 25.52801 01 17 01.03 +16 13 34.4          19.5 Roz6852474
     K08S07T  C2008 09 26.22630 01 16 16.06 +16 08 41.0          20.6 Voz8083H55
     K08S07T  C2008 09 26.23271 01 16 15.45 +16 08 39.5          20.6 Voz8083H55
     K08S07T  C2008 09 26.23851 01 16 14.95 +16 08 38.1          20.5 Voz8083H55
     K08S07T  C2008 09 26.29820 01 16 11.38 +16 08 31.1                oz6852291
     K08S07T HC2008 09 26.30205 01 16 11.06 +16 08 31.8                oz6852291
     K08S07T  C2008 09 26.30590 01 16 10.69 +16 08 29.4                oz6852291
     K08S07T  C2008 09 27.13959301 15 21.29 +16 04 26.3          20.4 Voz8083H55
     K08S07T  C2008 09 27.14631101 15 20.81 +16 04 24.4          20.3 Voz8083H55
     K08S07T  C2008 09 27.15435201 15 20.13 +16 04 22.2                oz8083H55
     K08S07T  C2008 09 28.20055 01 14 18.33 +15 59 33.9          20.9 Voz8083H55
     K08S07T  C2008 09 28.20726 01 14 17.78 +15 59 31.7          21.0 Voz8083H55
     K08S07T  C2008 09 28.21397 01 14 17.27 +15 59 30.1          21.0 Voz8083H55
     K08S07T  C2008 09 28.22045 01 14 16.76 +15 59 28.9          21.1 Voz8083H55
     K08S07T  C2008 09 28.94049 01 13 37.08 +15 55 52.6          20.6 Voz8083A74
     K08S07T  C2008 09 28.95024 01 13 36.39 +15 55 50.0          20.3 Voz8083A74
     K08S07T  C2008 09 28.96107 01 13 35.63 +15 55 47.1          20.3 Voz8083A74
     K08S07T  C2008 09 28.97189 01 13 34.82 +15 55 44.4          20.3 Voz8083A74
     K08S07T  C2008 09 29.27769 01 13 17.78 +15 54 28.1          21.2 Voz9356H55
     K08S07T  C2008 09 29.28973 01 13 16.91 +15 54 24.3          20.8 Voz9356H55
     K08S07T  C2008 09 29.30172 01 13 16.00 +15 54 20.8          21.0 Voz9356H55
     K08S07T  C2008 09 29.31847 01 13 16.22 +15 54 23.3                oz8083291
     K08S07T  C2008 09 29.32635 01 13 15.63 +15 54 22.3                oz8083291
     K08S07T  C2008 09 30.42178 01 12 17.52 +15 49 01.6          21.0 Voz8083291
     K08S07T  C2008 09 30.42559 01 12 17.25 +15 49 00.1          21.1 Voz8083291
     K08S07T  C2008 09 30.43024 01 12 16.92 +15 48 58.6          20.9 Voz8083291
     K08S07T  C2008 10 01.21862 01 11 42.05 +15 45 01.2          20.8 Voz9356H55
     K08S07T  C2008 10 01.22426 01 11 41.67 +15 44 59.6          20.4 Voz9356H55
     K08S07T  C2008 10 01.22982 01 11 41.31 +15 44 58.1          20.8 Voz9356H55
     K08S07T  C2008 10 01.23529 01 11 40.93 +15 44 56.7          20.5 Voz9356H55
     K08S07T  C2008 10 01.24782 01 11 40.06 +15 44 52.9          20.8 Voz9356H55
     K08S07T  C2008 10 01.38436 01 11 32.04 +15 44 19.7          21.1 Voz8083291
     K08S07T  C2008 10 01.38819 01 11 31.74 +15 44 18.0          20.8 Voz8083291
     K08S07T HC2008 10 01.39360 01 11 31.47 +15 44 17.2                oz8083291
     K08S07T  C2008 10 02.30618 01 10 51.70 +15 39 46.0          21.1 Voz8083291
     K08S07T HC2008 10 02.31018 01 10 51.50 +15 39 45.0                oz8083291
     K08S07T HC2008 10 02.31409 01 10 51.20 +15 39 44.3                oz8083291
     K08S07T  C2008 10 02.33062 01 10 48.81 +15 39 31.2          21.0 Voz8083H55
     K08S07T  C2008 10 02.33795 01 10 48.32 +15 39 28.4          21.1 Voz8083H55
     K08S07T  C2008 10 02.34678 01 10 47.83 +15 39 25.6          21.3 Voz8083H55
