     K08U99V* C2008 10 31.11917 23 29 12.76 +41 01 25.8          19.9 Vr~00US703
     K08U99V  C2008 10 31.12580 23 29 11.58 +41 01 26.0          19.3 Vr~00US703
     K08U99V  C2008 10 31.13237 23 29 10.24 +41 01 24.5          20.1 Vr~00US703
     K08U99V  C2008 10 31.13918 23 29 08.91 +41 01 24.5          19.7 Vr~00US703
     K08U99V  C2008 10 31.14935 23 29 06.90 +41 01 23.9          20.0 Vr~00US703
     K08U99V  C2008 10 31.16361 23 29 04.20 +41 01 22.5                r~00US703
     K08U99V  C2008 10 31.17074 23 29 02.68 +41 01 23.1                r~00US703
     K08U99V  C2008 10 31.17981 23 29 00.91 +41 01 22.0                r~00US703
     K08U99V  C2008 10 31.18637 23 28 59.76 +41 01 21.7          19.6 Vr~00US703
     K08U99V  C2008 10 31.19302 23 28 58.47 +41 01 21.0          19.6 Vr~00US703
     K08U99V  C2008 10 31.19962 23 28 57.22 +41 01 20.7          19.7 Vr~00US703
     K08U99V  C2008 10 31.20497 23 28 56.04 +41 01 19.7          19.2 Rv~00USH01
     K08U99V  C2008 10 31.20843 23 28 55.37 +41 01 19.4          19.3 Rv~00USH01
     K08U99V  C2008 10 31.21140 23 28 54.80 +41 01 19.1          19.2 Rv~00USH01
     K08U99V  C2008 10 31.21902 23 28 53.35 +41 01 18.4          19.2 Rv~00USH01
     K08U99V  C2008 10 31.27433 23 28 42.85 +41 01 13.3          19.5 Vr~00USG96
     K08U99V  C2008 10 31.27863 23 28 42.06 +41 01 12.7          19.5 Vr~00USG96
     K08U99V  C2008 10 31.28299 23 28 41.23 +41 01 12.3          19.5 Vr~00USG96
     K08U99V  C2008 10 31.28730 23 28 40.40 +41 01 11.6          19.4 Vr~00USG96
     K08U99V  C2008 11 01.01670 23 26 32.53 +41 00 08.7          19.9 Vo~01DnH55
     K08U99V  C2008 11 01.02064 23 26 31.78 +41 00 08.5          19.8 Vo~01DnH55
     K08U99V  C2008 11 01.02458 23 26 31.05 +41 00 08.5          19.9 Vo~01DnH55
