     K08V00M* C2008 11 03.24276 02 14 35.88 -04 58 20.0          18.4 Vr~00vf703
     K08V00M  C2008 11 03.24870 02 14 31.05 -05 00 55.7          19.1 Vr~00vf703
     K08V00M  C2008 11 03.25472 02 14 26.37 -05 03 35.1          19.1 Vr~00vf703
     K08V00M  C2008 11 03.26069 02 14 21.44 -05 06 13.2          19.3 Vr~00vf703
     K08V00M  C2008 11 03.29655 02 13 50.65 -05 22 59.1                r~00vf703
     K08V00M  C2008 11 03.30242 02 13 44.84 -05 26 02.8                r~00vf703
     K08V00M  C2008 11 03.30815 02 13 39.78 -05 28 50.2                r~00vf703
     K08V00M  C2008 11 03.31403 02 13 34.10 -05 31 55.2                r~00vf703
     K08V00M  C2008 11 03.35246 02 12 56.55 -05 53 06.3          18.7 Vr~00vfG96
     K08V00M  C2008 11 03.35270 02 12 56.30 -05 53 15.0          18.8 Vr~00vfG96
     K08V00M  C2008 11 03.35292 02 12 56.02 -05 53 15.9                r~00vf703
     K08V00M  C2008 11 03.35296 02 12 56.05 -05 53 24.3          19.3 Vr~00vfG96
     K08V00M  C2008 11 03.35320 02 12 55.80 -05 53 32.7          19.2 Vr~00vfG96
     K08V00M  C2008 11 03.35825 02 12 50.66 -05 56 29.8                r~00vf703
     K08V00M  C2008 11 03.36366 02 12 45.12 -05 59 46.3                r~00vf703
     K08V00M  C2008 11 03.36904 02 12 39.57 -06 02 57.5                r~00vf703
     K08V00M  C2008 11 03.38536 02 12 23.07 -06 13 21.2          19.1 Vr~00vfG96
     K08V00M  C2008 11 03.38562 02 12 22.82 -06 13 31.0          19.3 Vr~00vfG96
     K08V00M  C2008 11 03.38586 02 12 22.57 -06 13 40.2          19.1 Vr~00vfG96
     K08V00M  C2008 11 03.38611 02 12 22.32 -06 13 49.9          18.6 Vr~00vfG96
