     K08X01C* C2008 12 03.36799 04 24 02.55 +02 59 29.5          18.6 Vr~021H703
     K08X01C  C2008 12 03.37378 04 24 03.52 +02 59 19.4          18.0 Vr~021H703
     K08X01C  C2008 12 03.37958 04 24 04.32 +02 59 09.1          18.2 Vr~021H703
     K08X01C  C2008 12 03.38540 04 24 05.18 +02 58 57.8          18.5 Vr~021H703
     K08X01C  C2008 12 03.41553 04 24 09.92 +02 58 03.2          18.5 Vr~021H703
     K08X01C  C2008 12 03.41625 04 24 10.15 +02 58 01.9          18.2 Vr~021H703
     K08X01C  C2008 12 03.41697 04 24 10.34 +02 58 01.2          18.0 Vr~021H703
     K08X01C  C2008 12 03.41770 04 24 10.38 +02 57 59.5          18.2 Vr~021H703
     K08X01C  C2008 12 03.50912 04 24 37.67 +02 55 08.5          18.7 Ro~021H300
     K08X01C  C2008 12 03.51120 04 24 38.01 +02 55 05.2          18.7 Ro~021H300
     K08X01C  C2008 12 03.51328 04 24 38.38 +02 55 01.5          18.6 Ro~021H300
     K08X01C  C2008 12 03.51537 04 24 38.68 +02 54 58.0          19.2 Ro~021H300
     K08X01C  C2008 12 03.51744 04 24 39.00 +02 54 54.8          19.2 Ro~021H300
     K08X01C  C2008 12 03.51953 04 24 39.33 +02 54 50.4          19.0 Ro~021H300
     K08X01C  C2008 12 03.84603 04 25 46.31 +02 44 03.4          18.1 Vo~021HA74
     K08X01C  C2008 12 03.85398 04 25 47.77 +02 43 47.4          18.6 Vo~021HA74
     K08X01C  C2008 12 03.86120 04 25 49.07 +02 43 33.9          18.2 Vo~021HA74
     K08X01C  C2008 12 03.87635 04 25 51.88 +02 43 04.2          18.6 Vo~021HA74
     K08X01C  C2008 12 03.88930 04 25 54.23 +02 42 38.4          18.3 Vo~021HA74
     K08X01C  C2008 12 04.05384 04 26 24.25 +02 37 14.7                o~02N3204
     K08X01C  C2008 12 04.05730 04 26 24.92 +02 37 07.5                o~02N3204
     K08X01C  C2008 12 04.06076 04 26 25.57 +02 37 00.5          18.7 Ro~02N3204
     K08X01C  C2008 12 04.25281 04 27 14.65 +02 30 44.2          18.2 Rv~021HH01
     K08X01C  C2008 12 04.25332 04 27 14.75 +02 30 43.0          18.3 Rv~021HH01
     K08X01C  C2008 12 04.25791 04 27 15.60 +02 30 33.4          18.2 Rv~021HH01
     K08X01C  C2008 12 04.26072 04 27 16.12 +02 30 27.4          18.2 Rv~021HH01
     K08X01C  C2008 12 04.35191 04 27 33.35 +02 27 11.1          18.0 Rv~021HH01
     K08X01C  C2008 12 04.35324 04 27 33.61 +02 27 08.2          18.0 Rv~021IH01
     K08X01C  C2008 12 04.36382 04 27 35.68 +02 26 45.1          18.0 Rv~021IH01
     K08X01C  C2008 12 05.20391 04 31 24.69 +01 53 10.1          18.7 Vo~02IoH55
     K08X01C  C2008 12 05.20542 04 31 25.06 +01 53 06.1          18.8 Vo~02IoH55
     K08X01C  C2008 12 05.20697 04 31 25.44 +01 53 02.1          18.8 Vo~02IoH55
     K08X01C  C2008 12 05.25364 04 31 40.46 +01 51 16.2          18.2 Vo~021I291
     K08X01C  C2008 12 05.26243 04 31 42.61 +01 50 53.0          18.2 Vo~021I291
     K08X01C  C2008 12 05.26887 04 31 44.18 +01 50 35.9          18.2 Vo~021I291
     K08X01C  C2008 12 06.21176 04 37 11.41 +01 03 27.5          16.3 Vo~02Io291
     K08X01C HC2008 12 06.21552 04 37 12.63 +01 03 13.9                o~02Io291
     K08X01C HC2008 12 06.21940 04 37 13.81 +01 02 59.2                o~02Io291
     K08X01C  C2008 12 06.28608 04 37 35.28 +00 59 10.2          17.5 Rr~02Io448
     K08X01C  C2008 12 06.28801 04 37 35.91 +00 59 03.7          17.7 Rr~02Io448
     K08X01C  C2008 12 06.28993 04 37 36.56 +00 58 56.9          17.6 Rr~02Io448
     K08X01C  C2008 12 06.29185 04 37 37.19 +00 58 50.3          17.9 Rr~02Io448
     K08X01C  C2008 12 06.29375 04 37 37.84 +00 58 43.5          17.8 Rr~02Io448
     K08X01C  C2008 12 06.90550 04 42 12.59 +00 19 14.5          18.3 Vv~02N3J77
     K08X01C  C2008 12 06.92385 04 42 20.70 +00 17 57.9          17.8 Vv~02N3J77
     K08X01C  C2008 12 06.94240 04 42 28.86 +00 16 39.8          18.1 Vv~02N3J77
     K08X01C  C2008 12 06.96074 04 42 36.94 +00 15 22.6          17.7 Vv~02N3J77
     K08X01C  C2008 12 06.96225 04 42 35.85 +00 15 27.4          17.7 Rc~02Io587
     K08X01C  C2008 12 06.96398 04 42 36.56 +00 15 21.1          17.3 Rc~02Io587
     K08X01C  C2008 12 06.96523 04 42 37.13 +00 15 15.5          17.3 Rc~02Io587
     K08X01C  C2008 12 06.99266 04 42 51.05 +00 13 07.1          17.8 Vv~02N3J77
     K08X01C  C2008 12 07.00519 04 42 56.63 +00 12 13.5          17.9 Vv~02N3J77
     K08X01C  C2008 12 07.01771 04 43 02.25 +00 11 19.5          18.2 Vv~02N3J77
     K08X01C  C2008 12 07.03026 04 43 07.86 +00 10 25.6          18.1 Vv~02N3J77
     K08X01C  C2008 12 07.06426 04 43 23.37 +00 07 57.8          18.0 Vv~02N3J77
     K08X01C  C2008 12 07.08823 04 43 34.52 +00 06 12.6          18.0 Vv~02N3J77
     K08X01C  C2008 12 07.10152 04 43 40.78 +00 05 14.0          18.2 Vv~02N3J77
     K08X01C  C2008 12 07.11477 04 43 47.08 +00 04 15.0          18.0 Vv~02N3J77
     K08X01C  C2008 12 07.12731 04 43 53.13 +00 03 19.3          18.0 Vv~02N3J77
     K08X01C  C2008 12 07.14223 04 44 00.40 +00 02 12.9          18.0 Vv~02N3J77
     K08X01C  C2008 12 07.14545 04 44 15.86 +00 02 40.6          17.6 Rr~02IoH45
     K08X01C  C2008 12 07.14673 04 44 16.45 +00 02 34.7          17.4 Rr~02IoH45
     K08X01C  C2008 12 07.14773 04 44 16.88 +00 02 30.5          17.7 Rr~02IoH45
     K08X01C  C2008 12 07.14835 04 44 17.22 +00 02 27.3          17.7 Rr~02IoH45
     K08X01C  C2008 12 07.15024 04 44 18.08 +00 02 19.2          17.8 Rr~02IoH45
     K08X01C  C2008 12 07.15139 04 44 18.63 +00 02 13.6          17.8 Rr~02IoH45
     K08X01C  C2008 12 07.15247 04 44 19.13 +00 02 09.1          17.4 Rr~02IoH45
     K08X01C  C2008 12 07.22018 04 44 49.64 -00 03 10.9          18.2 Vo~02IoH55
     K08X01C  C2008 12 07.22147 04 44 50.24 -00 03 16.7          18.1 Vo~02IoH55
     K08X01C  C2008 12 07.22285 04 44 50.88 -00 03 23.0          18.3 Vo~02IoH55
     K08X01C  C2008 12 07.22425 04 44 51.52 -00 03 29.3          18.2 Vo~02IoH55
     K08X01C  C2008 12 07.28584 04 45 24.50 -00 07 59.2          17.5 Rv~02IoH01
     K08X01C  C2008 12 07.28791 04 45 25.48 -00 08 08.9          17.5 Rv~02IoH01
     K08X01C  C2008 12 07.29003 04 45 26.50 -00 08 18.9          17.4 Rv~02IoH01
     K08X01C  C2008 12 07.29461 04 45 28.67 -00 08 40.4          17.5 Rv~02IoH01
     K08X01C  C2008 12 07.79397 04 50 40.57 -00 51 47.6          17.9 Vc~02Io104
     K08X01C  C2008 12 07.79468 04 50 41.07 -00 51 50.9          18.0 Vc~02Io104
     K08X01C  C2008 12 07.79608 04 50 41.85 -00 51 59.6          17.9 Vc~02Io104
     K08X01C  C2008 12 07.79745 04 50 42.91 -00 52 06.7          17.7 Vc~02Io104
     K08X01C  C2008 12 07.81898 04 50 56.09 -00 54 07.7          17.7 Vo~02IoA78
     K08X01C  C2008 12 07.82507 04 50 59.93 -00 54 42.7          17.8 Vo~02IoA78
     K08X01C  C2008 12 07.83042 04 51 03.28 -00 55 12.9          17.7 Vo~02IoA78
     K08X01C  C2008 12 07.94185 04 52 12.95 -01 06 02.7                r~02Io203
     K08X01C  C2008 12 07.96643 04 52 28.45 -01 08 28.5                r~02Io203
     K08X01C  C2008 12 07.97690 04 52 35.09 -01 09 30.9                r~02Io203
     K08X01C  C2008 12 08.35975 04 57 19.34 -01 49 54.1          16.7 Rr~02IoH45
     K08X01C  C2008 12 08.36134 04 57 20.62 -01 50 06.4          16.6 Rr~02IoH45
     K08X01C  C2008 12 08.36391 04 57 22.54 -01 50 23.4          16.5 Rr~02IoH45
     K08X01C  C2008 12 08.36564 04 57 23.78 -01 50 36.1          16.6 Rr~02IoH45
     K08X01C  C2008 12 08.36631 04 57 24.44 -01 50 40.4          16.8 Rr~02IoH45
     K08X01C  C2008 12 08.36764 04 57 25.34 -01 50 49.0          16.5 Rr~02IoH45
     K08X01C  C2008 12 08.36962 04 57 26.95 -01 51 03.8          16.5 Rr~02IoH45
     K08X01C  C2008 12 08.89310 05 05 49.01 -02 59 16.6                r~02N3203
     K08X01C  C2008 12 08.89704 05 05 52.88 -02 59 52.7          16.5 Rc~02IoB39
     K08X01C  C2008 12 08.92011 05 06 14.72 -03 03 11.6          17.2 Vc~02IoA48
     K08X01C  C2008 12 08.92327 05 06 18.26 -03 03 41.7          17.0 Rr~02IoB39
     K08X01C  C2008 12 08.92334 05 06 17.85 -03 03 39.7          17.2 Vc~02IoA48
     K08X01C  C2008 12 08.92658 05 06 21.00 -03 04 08.5          17.3 Vc~02IoA48
     K08X01C  C2008 12 08.92982 05 06 24.16 -03 04 36.8          17.3 Vc~02IoA48
     K08X01C  C2008 12 08.93991 05 06 34.00 -03 06 06.2          17.2 Vc~02Io560
     K08X01C  C2008 12 08.94077 05 06 34.84 -03 06 13.8          17.2 Vc~02Io560
     K08X01C  C2008 12 08.94162 05 06 35.68 -03 06 21.5          17.2 Vc~02Io560
     K08X01C  C2008 12 08.94574 05 06 40.17 -03 06 58.2                r~02N3203
     K08X01C  C2008 12 08.97839 05 07 12.45 -03 11 53.9          16.9 Rr~02IoB67
     K08X01C  C2008 12 08.98521 05 07 19.23 -03 12 55.1          17.0 Rr~02IoB67
     K08X01C  C2008 12 08.98929 05 07 23.33 -03 13 32.2          17.2 Rr~02IoB67
     K08X01C  C2008 12 08.99337 05 07 27.44 -03 14 08.8          17.0 Rr~02IoB67
     K08X01C  C2008 12 09.53743 05 18 53.699-04 40 15.71         16.7 Rr~02N3E12
