     K08X02U* C2008 12 06.26160 07 35 30.69 +40 30 12.6          19.8 Vr~02IrG96
     K08X02U  C2008 12 06.26841 07 35 29.22 +40 29 43.4          20.1 Vr~02IrG96
     K08X02U  C2008 12 06.27524 07 35 27.70 +40 29 14.1          20.2 Vr~02IrG96
     K08X02U  C2008 12 06.28211 07 35 26.12 +40 28 44.3          20.2 Vr~02IrG96
     K08X02U  C2008 12 06.30361 07 35 21.15 +40 27 10.4          19.9 Vr~02IrG96
     K08X02U  C2008 12 06.31150 07 35 18.24 +40 26 34.7          19.0 Rv~02IrH01
     K08X02U  C2008 12 06.31203 07 35 18.12 +40 26 32.3          19.1 Rv~02IrH01
     K08X02U  C2008 12 06.31266 07 35 19.03 +40 26 30.5          20.3 Vr~02IrG96
     K08X02U  C2008 12 06.31688 07 35 16.96 +40 26 10.6          19.2 Rv~02IrH01
     K08X02U  C2008 12 06.32005 07 35 16.18 +40 25 56.1          19.0 Rv~02IrH01
     K08X02U  C2008 12 06.32285 07 35 15.50 +40 25 43.8          19.2 Rv~02IrH01
     K08X02U  C2008 12 06.33083 07 35 14.60 +40 25 10.0          20.1 Vr~02IrG96
     K08X02U  C2008 12 06.89784 07 34 00.19 +39 41 01.4                r~02IrJ95
     K08X02U  C2008 12 06.90271 07 33 59.53 +39 40 45.5                r~02IrJ95
     K08X02U  C2008 12 06.90848 07 33 58.65 +39 40 24.7          20.0 Rr~02IrJ95
     K08X02U  C2008 12 07.22346 07 33 23.31 +39 21 03.1          20.0 Rv~02IrH01
     K08X02U  C2008 12 07.22590 07 33 22.94 +39 20 55.6          19.8 Rv~02IrH01
     K08X02U  C2008 12 07.22917 07 33 22.41 +39 20 45.5          19.7 Rv~02IrH01
     K08X02U  C2008 12 07.23252 07 33 21.88 +39 20 35.1          19.8 Rv~02IrH01
     K08X02U  C2008 12 07.25450 07 33 18.97 +39 19 25.3          20.3 Vr~02IrG96
     K08X02U  C2008 12 07.25891 07 33 18.25 +39 19 11.5          20.5 Vr~02IrG96
     K08X02U  C2008 12 07.26331 07 33 17.49 +39 18 57.8          20.4 Vr~02IrG96
     K08X02U  C2008 12 07.38451 07 32 49.16 +39 11 56.5          19.8 Vo~02IrH55
     K08X02U  C2008 12 07.38800 07 32 48.50 +39 11 42.9          20.3 Vo~02IrH55
     K08X02U  C2008 12 07.39195 07 32 47.77 +39 11 28.5          20.1 Vo~02IrH55
     K08X02U  C2008 12 07.41036 07 32 49.40 +39 10 52.9          20.1 Rc~02Ir854
     K08X02U  C2008 12 07.41587 07 32 48.42 +39 10 32.2          20.5 Rc~02Ir854
     K08X02U  C2008 12 10.01840 07 29 14.23 +37 16 49.7                r~02N4J95
     K08X02U  C2008 12 10.11029 07 29 03.96 +37 14 00.0          20.7 Rr~02N4J95
     K08X02U HC2008 12 22.53169 07 19 12.75 +34 06 55.5                o~02R3291
     K08X02U HC2008 12 22.53631 07 19 12.51 +34 06 53.0                o~02R3291
     K08X02U  C2008 12 29.14921 07 15 02.42 +33 18 36.9          22.5 Rv~02jZH01
     K08X02U  C2008 12 29.16098 07 15 01.90 +33 18 33.7          22.6 Rv~02jZH01
     K08X02U  C2008 12 29.20676 07 14 59.70 +33 18 20.2          22.7 Rv~02jZH01
     K08X02U  C2008 12 30.20621907 14 23.59 +33 11 45.4          23.7 Vo~02jZH55
     K08X02U  C2008 12 30.23946107 14 21.92 +33 11 32.1          23.3 Vo~02jZH55
     K08X02U  C2008 12 30.26977007 14 20.36 +33 11 21.1          23.4 Vo~02jZH55
     K08X02U  C2008 12 31.21027 07 13 50.19 +33 05 15.9          22.6 Rv~02jZH01
     K08X02U  C2008 12 31.22245 07 13 49.61 +33 05 12.1          22.7 Rv~02jZH01
     K08X02U  C2008 12 31.23471 07 13 49.03 +33 05 08.2          22.9 Rv~02jZH01
     K08X02U  C2008 12 31.25022 07 13 48.26 +33 05 03.2          22.7 Rv~02jZH01
     K08X02U  C2009 01 03.17222907 12 16.93 +32 46 29.6          23.2 Vo~034iH55
     K08X02U  C2009 01 03.21535307 12 15.08 +32 46 16.0          23.6 Vo~034iH55
     K08X02U  C2009 01 03.25860807 12 13.15 +32 45 59.9          23.0 Vo~034iH55
