     K08Y03C* C2008 12 22.25277 03 43 55.27 +03 49 49.3          19.8 Vr~02Rg703
     K08Y03C  C2008 12 22.25923 03 43 49.47 +03 52 23.3          19.8 Vr~02Rg703
     K08Y03C  C2008 12 22.26579 03 43 43.68 +03 55 00.2          18.5 Vr~02Rg703
     K08Y03C  C2008 12 22.27238 03 43 37.84 +03 57 36.6          18.9 Vr~02Rg703
     K08Y03C  C2008 12 22.30788 03 43 06.66 +04 11 43.2          18.9 Vr~02Rg703
     K08Y03C  C2008 12 22.30848 03 43 06.22 +04 11 55.5          19.4 Vr~02Rg703
     K08Y03C  C2008 12 22.30962 03 43 05.16 +04 12 25.1          19.1 Vr~02Rg703
     K08Y03C  C2008 12 22.36115 03 42 20.73 +04 32 53.3          18.6 Vr~02Rg703
     K08Y03C  C2008 12 22.36175 03 42 20.31 +04 33 04.9          19.3 Vr~02Rg703
     K08Y03C  C2008 12 22.36297 03 42 19.14 +04 33 38.2          19.3 Vr~02Rg703
     K08Y03C  C2008 12 22.75385 03 37 33.81 +07 10 42.9          19.0 Vr~02RgA13
     K08Y03C  C2008 12 22.75517 03 37 32.69 +07 11 14.8          19.0 Vr~02RgA13
     K08Y03C  C2008 12 22.75661 03 37 31.41 +07 11 50.6          19.2 Vr~02RgA13
     K08Y03C  C2008 12 23.95653 03 20 22.48 +15 31 40.9                v~02jg204
     K08Y03C  C2008 12 23.96200 03 20 17.22 +15 33 57.5          19.1 Rv~02jg204
     K08Y03C  C2008 12 26.77453 02 35 47.34 +34 10 10.3                r~02jgJ95
     K08Y03C  C2008 12 26.78277 02 35 38.09 +34 13 07.7          19.8 Rr~02jgJ95
     K08Y03C  C2008 12 26.79177 02 35 28.01 +34 16 20.8                r~02jgJ95
     K08Y03C  C2008 12 26.79945 02 35 19.41 +34 19 05.9          19.6 Rr~02jgJ95
     K08Y03C  C2008 12 28.73558 02 01 01.07 +44 22 54.5                r~02jgJ95
     K08Y03C  C2008 12 28.74364 02 00 51.45 +44 25 07.4          19.8 Rr~02jgJ95
     K08Y03C  C2008 12 29.10787 01 53 57.02 +46 01 05.5          20.0 Vo~02jgH55
     K08Y03C  C2008 12 29.11104 01 53 53.12 +46 01 52.1          19.8 Vo~02jgH55
     K08Y03C  C2008 12 29.11717 01 53 45.59 +46 03 22.6          19.7 Vo~02jgH55
     K08Y03C  C2008 12 29.12395 01 53 43.59 +46 05 42.5          19.8 Rv~02jgH01
     K08Y03C  C2008 12 29.12758 01 53 39.07 +46 06 36.9          19.9 Rv~02jgH01
     K08Y03C  C2008 12 29.13130 01 53 34.46 +46 07 32.5          19.8 Rv~02jgH01
     K08Y03C  C2008 12 29.13413 01 53 30.98 +46 08 14.6          19.6 Rv~02jgH01
     K08Y03C  C2008 12 30.90504 01 20 33.15 +52 28 08.8                r~02jgJ95
     K08Y03C  C2008 12 30.91466 01 20 21.65 +52 29 47.4          20.8 Rr~02jgJ95
     K08Y03C  C2009 01 03.12101 00 22 31.14 +59 39 06.3          20.5 Rv~034lH01
     K08Y03C  C2009 01 03.12663 00 22 24.73 +59 39 34.9          20.4 Rv~034lH01
     K08Y03C  C2009 01 03.13185 00 22 18.79 +59 40 01.7          20.4 Rv~034lH01
     K08Y03C  C2009 01 18.09573 21 35 59.94 +66 14 13.6          22.0 Rv~03KMH01
     K08Y03C  C2009 01 18.11446 21 35 52.82 +66 14 06.0          22.5 Rv~03KMH01
     K08Y03C  C2009 01 21.07289 21 19 12.83 +66 13 10.0          22.3 Rv~03KMH01
     K08Y03C  C2009 01 21.16386 21 18 45.74 +66 12 25.6          22.3 Rv~03KNH01
