     K08Y03D* C2008 12 22.34245 08 33 09.68 +15 45 06.9          20.6 Vr~02RgG96
     K08Y03D  C2008 12 22.34689 08 33 12.27 +15 44 58.9          22.0 Vr~02RgG96
     K08Y03D  C2008 12 22.35140 08 33 14.76 +15 44 51.6          21.7 Vr~02RgG96
     K08Y03D  C2008 12 22.35579 08 33 17.17 +15 44 44.8          22.0 Vr~02RgG96
     K08Y03D  C2008 12 22.36216 08 33 20.66 +15 44 34.8          22.1 Vr~02RgG96
     K08Y03D  C2008 12 22.36776 08 33 23.79 +15 44 26.3          21.7 Vr~02RgG96
     K08Y03D  C2008 12 22.37329 08 33 26.74 +15 44 16.7          21.5 Vr~02RgG96
     K08Y03D  C2008 12 22.37879 08 33 29.95 +15 44 07.5          22.2 Vr~02RgG96
     K08Y03D  C2008 12 22.48292 08 34 27.26 +15 41 11.4          22.1 Vr~02RgG96
     K08Y03D  C2008 12 22.48380 08 34 27.67 +15 41 10.3          21.8 Vr~02RgG96
     K08Y03D  C2008 12 22.48470 08 34 28.12 +15 41 08.7          22.2 Vr~02RgG96
     K08Y03D  C2008 12 22.48560 08 34 28.64 +15 41 06.6                r~02RgG96
