     K08Y02O* C2008 12 21.16512 02 46 50.12 +13 29 50.8          20.3 Vr~02RfG96
     K08Y02O  C2008 12 21.16946 02 46 43.60 +13 29 25.1          20.8 Vr~02RfG96
     K08Y02O  C2008 12 21.17381 02 46 37.02 +13 28 59.0          20.8 Vr~02RfG96
     K08Y02O  C2008 12 21.17815 02 46 30.43 +13 28 33.2          20.8 Vr~02RfG96
     K08Y02O  C2008 12 21.21323 02 45 36.85 +13 25 01.1                r~02RfG96
     K08Y02O  C2008 12 21.21411 02 45 35.38 +13 24 55.1                r~02RfG96
     K08Y02O  C2008 12 21.21499 02 45 34.11 +13 24 50.4                r~02RfG96
     K08Y02O  C2008 12 21.21588 02 45 32.69 +13 24 44.6          20.5 Vr~02RfG96
     K08Y02O  C2008 12 21.24508 02 44 47.30 +13 21 39.2          20.2 Rv~02RfH01
     K08Y02O  C2008 12 21.24717 02 44 44.07 +13 21 26.3          20.1 Rv~02RfH01
     K08Y02O  C2008 12 21.25198 02 44 36.67 +13 20 56.5          20.1 Rv~02RfH01
     K08Y02O  C2008 12 21.25678 02 44 29.30 +13 20 26.3          20.3 Rv~02RfH01
     K08Y02O  C2008 12 21.31050 02 43 06.62 +13 14 51.7          20.7 Vr~02RfG96
     K08Y02O  C2008 12 21.31093 02 43 06.02 +13 14 48.3          20.4 Vr~02RfG96
     K08Y02O  C2008 12 21.31135 02 43 05.45 +13 14 45.9                r~02RfG96
     K08Y02O  C2008 12 21.31178 02 43 04.69 +13 14 42.8                r~02RfG96
     K08Y02O FC2008 12 21.91324 02 27 00.19 +12 05 17.4          20.3 Rv~02jf204
     K08Y02O  C2008 12 22.12193 02 21 01.36 +11 38 48.6          20.5 Vr~02RfG96
     K08Y02O  C2008 12 22.12235 02 21 00.68 +11 38 46.6          20.6 Vr~02RfG96
     K08Y02O  C2008 12 22.12278 02 20 59.96 +11 38 43.1          20.8 Vr~02RfG96
     K08Y02O  C2008 12 22.12319 02 20 59.06 +11 38 39.6          20.9 Vr~02RfG96
     K08Y02O  C2008 12 22.13956 02 20 28.13 +11 36 23.8          20.7 Rv~02RfH01
     K08Y02O  C2008 12 22.14607 02 20 16.04 +11 35 31.1          20.4 Rv~02RfH01
     K08Y02O  C2008 12 22.15396 02 20 01.39 +11 34 27.2          20.8 Rv~02RfH01
     K08Y02O  C2008 12 22.15826 02 19 53.31 +11 33 51.9          20.4 Rv~02RfH01
     K08Y02O  C2008 12 22.16708 02 19 36.91 +11 32 39.9          20.2 Rv~02RfH01
