     K09B58F* C2009 01 28.26267 09 35 11.07 +10 08 41.0          20.3 Vr~03NH703
     K09B58F  C2009 01 28.26961 09 35 14.49 +10 08 16.5          20.5 Vr~03NH703
     K09B58F  C2009 01 28.27637 09 35 17.77 +10 07 52.9          19.2 Vr~03NH703
     K09B58F  C2009 01 28.28313 09 35 21.04 +10 07 28.5          20.0 Vr~03NH703
     K09B58F  C2009 01 28.29876 09 35 28.63 +10 06 31.5                r~03NH703
     K09B58F  C2009 01 28.30556 09 35 31.82 +10 06 06.3          20.1 Vr~03NH703
     K09B58F  C2009 01 28.31233 09 35 35.00 +10 05 42.1          20.4 Vr~03NH703
     K09B58F  C2009 01 28.31899 09 35 38.33 +10 05 19.5                r~03NH703
     K09B58F  C2009 01 28.33704 09 35 46.50 +10 04 11.6          19.6 Vr~03NH703
     K09B58F  C2009 01 28.33800 09 35 47.07 +10 04 08.5          20.0 Vr~03NH703
     K09B58F  C2009 01 28.33895 09 35 47.47 +10 04 04.9          19.7 Vr~03NH703
     K09B58F  C2009 01 28.38759 09 36 09.93 +10 01 07.5          19.7 Vr~03NH703
     K09B58F  C2009 01 28.38853 09 36 10.40 +10 01 03.8          20.2 Vr~03NH703
     K09B58F  C2009 01 28.38949 09 36 10.72 +10 01 01.2          19.9 Vr~03NH703
     K09B58F  C2009 01 28.39044 09 36 11.19 +10 00 57.7          19.9 Vr~03NH703
     K09B58F  C2009 01 29.20827 09 43 34.15 +09 17 09.7          19.9 Rv~03NHH01
     K09B58F  C2009 01 29.21225 09 43 35.63 +09 16 59.3          19.9 Rv~03NHH01
     K09B58F  C2009 01 29.21811 09 43 37.77 +09 16 44.9          19.9 Rv~03NHH01
     K09B58F  C2009 01 29.22215 09 43 39.28 +09 16 33.9          19.8 Rv~03NHH01
     K09B58F  C2009 01 29.32278 09 44 14.71 +09 12 20.2          20.0 Rc~03NH651
     K09B58F  C2009 01 29.32366 09 44 14.99 +09 12 19.1          20.1 Rc~03NH651
     K09B58F  C2009 01 29.32629 09 44 15.87 +09 12 11.1          20.2 Rc~03NH651
     K09B58F  C2009 01 29.38291 09 44 29.71 +09 08 59.1          20.2 Rr~03NHH36
     K09B58F  C2009 01 29.39125 09 44 32.48 +09 08 37.3          19.9 Rr~03NHH36
     K09B58F  C2009 01 30.09058 09 49 08.02 +08 40 44.2          20.0 Cr~03NH493
     K09B58F  C2009 01 30.09178 09 49 08.33 +08 40 41.8          20.1 Cr~03NH493
     K09B58F  C2009 01 30.09300 09 49 08.65 +08 40 38.7          20.4 Cr~03NH493
     K09B58F  C2009 01 30.32607 09 50 34.47 +08 32 47.0          20.8 Vr~03NHG96
     K09B58F  C2009 01 30.33263 09 50 35.95 +08 32 34.1          20.5 Vr~03NHG96
     K09B58F  C2009 01 30.34093 09 50 37.86 +08 32 17.3          20.6 Vr~03NHG96
     K09B58F  C2009 01 31.00706 09 53 57.45 +08 10 33.1          20.4 Rc~03NH587
     K09B58F  C2009 01 31.01280 09 53 58.56 +08 10 22.2                c~03NH587
     K09B58F  C2009 01 31.23798 09 55 07.95 +08 04 51.5          21.1 Vo~03NH291
     K09B58F  C2009 01 31.24173 09 55 08.69 +08 04 45.6          20.8 Vo~03NH291
     K09B58F  C2009 01 31.24561 09 55 09.44 +08 04 39.7          20.8 Vo~03NH291
     K09B58F  C2009 02 01.20116 09 58 52.62 +07 41 22.5                o~03NH291
     K09B58F  C2009 02 01.20504 09 58 53.16 +07 41 18.8                o~03NH291
     K09B58F  C2009 02 01.20893 09 58 53.90 +07 41 14.0                o~03NH291
     K09B58F  C2009 02 01.27591 09 59 03.52 +07 39 54.2          20.8 Vo~04Fr691
     K09B58F  C2009 02 01.29397 09 59 05.87 +07 39 32.6          20.9 Vo~04Fr691
     K09B58F  C2009 02 01.31204 09 59 08.15 +07 39 10.9          20.7 Vo~04Fr691
     K09B58F  C2009 02 01.32949 09 59 10.28 +07 38 49.5          21.1 Vo~04Fr691
     K09B58F  C2009 02 01.34780 09 59 12.49 +07 38 27.0          20.8 Vo~04Fr691
     K09B58F  C2009 02 01.36587 09 59 14.63 +07 38 04.2          21.0 Vo~04Fr691
     K09B58F  C2009 02 03.25834 10 04 33.55 +07 05 31.4          21.6 Vo~03NH291
     K09B58F  C2009 02 03.26214 10 04 33.84 +07 05 28.5          21.5 Vo~03NH291
     K09B58F  C2009 02 03.26586 10 04 34.13 +07 05 25.6          21.2 Vo~03NH291
     K09B58F  C2009 02 05.24065 10 08 17.84 +06 42 34.6                o~03NH291
     K09B58F  C2009 02 05.24835 10 08 18.19 +06 42 30.7          21.7 Vo~03NH291
     K09B58F HC2009 02 05.25376 10 08 18.59 +06 42 27.5                o~03NH291
     K09B58F  C2009 02 20.27452 10 17 10.40 +06 02 45.7          22.7 Rv~04K1H01
     K09B58F  C2009 02 20.28409 10 17 10.25 +06 02 46.0          22.8 Rv~04K1H01
     K09B58F  C2009 02 22.20254 10 17 29.47 +06 04 18.4          22.8 Rv~04bLH01
     K09B58F  C2009 02 22.23378 10 17 29.11 +06 04 20.7          22.8 Rv~04bLH01
     K09B58F  C2009 02 22.26475 10 17 28.68 +06 04 23.0          22.8 Rv~04bLH01
     K09B58F  C2009 02 25.43554 10 17 50.76 +06 07 47.8          23.0 Rv~04bLH01
