     K09E01J* C2009 03 03.27933 11 53 11.15 +00 04 10.7          20.6 Vo~04ue691
     K09E01J  C2009 03 03.29698 11 53 07.88 +00 04 27.4          20.5 Vo~04ue691
     K09E01J  C2009 03 03.31461 11 53 04.52 +00 04 44.7          20.3 Vo~04ue691
     K09E01J  C2009 03 03.36184 11 52 55.44 +00 05 29.1          20.9 Vo~04ue291
     K09E01J  C2009 03 03.36583 11 52 54.66 +00 05 32.9          20.4 Vo~04ue291
     K09E01J  C2009 03 03.36961 11 52 53.94 +00 05 36.4          20.4 Vo~04ue291
     K09E01J  C2009 03 03.38006 11 52 44.51 +00 05 04.3          21.3 Vo~04ueH55
     K09E01J  C2009 03 03.38733 11 52 43.46 +00 05 11.4          21.2 Vo~04ueH55
     K09E01J  C2009 03 03.39460 11 52 42.35 +00 05 18.0          21.1 Vo~04ueH55
     K09E01J  C2009 03 03.44442 11 52 40.48 +00 06 44.4                o~04uf291
     K09E01J  C2009 03 03.44835 11 52 39.88 +00 06 47.5          20.8 Vo~04uf291
     K09E01J  C2009 03 03.45208 11 52 39.30 +00 06 50.8          20.7 Vo~04uf291
     K09E01J  C2009 03 03.49629 11 52 32.89 +00 07 29.2          20.8 Vo~04uf291
     K09E01J  C2009 03 03.50009 11 52 32.41 +00 07 32.4          20.9 Vo~04uf291
     K09E01J  C2009 03 03.50388 11 52 31.94 +00 07 35.9          20.8 Vo~04uf291
     K09E01J  C2009 03 03.59503 11 52 42.33 +00 16 22.1          21.0 Ro~04uf474
     K09E01J  C2009 03 03.59712 11 52 42.07 +00 16 23.3                o~04uf474
     K09E01J  C2009 03 03.59899 11 52 41.73 +00 16 25.0          20.9 Ro~04uf474
     K09E01J  C2009 03 03.60076 11 52 41.42 +00 16 26.6          21.1 Ro~04uf474
     K09E01J  C2009 03 03.60243 11 52 41.12 +00 16 27.7                o~04uf474
     K09E01J  C2009 03 03.60418 11 52 40.88 +00 16 27.3          21.1 Ro~04uf474
