     K09E00W* C2009 03 02.29194 11 40 52.82 +34 53 40.3          20.3 Vr~04ud703
     K09E00W  C2009 03 02.29847 11 40 51.45 +34 54 13.0          20.0 Vr~04ud703
     K09E00W  C2009 03 02.30507 11 40 50.23 +34 54 42.3          20.0 Vr~04ud703
     K09E00W  C2009 03 02.31168 11 40 48.90 +34 55 11.0          21.1 Vr~04ud703
     K09E00W  C2009 03 02.34425 11 40 42.31 +34 57 37.5          19.2 Vr~04ud703
     K09E00W  C2009 03 02.35325 11 40 40.65 +34 58 17.9          19.2 Vr~04ud703
     K09E00W  C2009 03 02.36244 11 40 38.67 +34 58 57.0          19.2 Vr~04ud703
     K09E00W  C2009 03 02.37183 11 40 36.62 +34 59 37.8          18.9 Vr~04ud703
     K09E00W  C2009 03 02.45190 11 40 19.76 +35 04 58.5          19.5 Rv~04udH01
     K09E00W  C2009 03 02.45462 11 40 19.25 +35 05 09.4          19.5 Rv~04udH01
     K09E00W  C2009 03 02.45804 11 40 18.62 +35 05 22.9          19.0 Rv~04udH01
     K09E00W  C2009 03 02.46315 11 40 17.71 +35 05 43.2          19.1 Rv~04udH01
     K09E00W  C2009 03 03.04699 11 39 39.37 +35 58 05.3                r~04udJ95
     K09E00W  C2009 03 03.04955 11 39 38.75 +35 58 21.9          18.9 Rr~04udJ95
     K09E00W  C2009 03 03.26736 11 39 27.27 +36 25 28.6          19.1 Rc~04ud854
     K09E00W  C2009 03 03.26986 11 39 26.68 +36 25 48.7          19.2 Rc~04ud854
     K09E00W  C2009 03 03.27237 11 39 25.87 +36 26 09.6          19.3 Rc~04ud854
     K09E00W  C2009 03 03.30628 11 39 04.66 +36 29 54.6          19.9 Vo~04udH55
     K09E00W  C2009 03 03.30948 11 39 03.69 +36 30 18.6          19.9 Vo~04udH55
     K09E00W  C2009 03 03.31258 11 39 02.75 +36 30 41.8          20.0 Vo~04udH55
     K09E00W  C2009 03 03.32569 11 39 07.79 +36 33 06.8          19.4 Rv~04udH01
     K09E00W  C2009 03 03.33269 11 39 05.56 +36 34 02.1          18.5 Rv~04udH01
     K09E00W  C2009 03 03.33671 11 39 04.28 +36 34 33.7          19.3 Rv~04udH01
     K09E00W  C2009 03 03.34370 11 39 02.05 +36 35 28.6          18.8 Rv~04udH01
     K09E00W  C2009 03 03.34800 11 39 00.68 +36 36 02.2          19.2 Rv~04udH01
     K09E00W  C2009 03 04.86513911 31 34.68 +43 34 06.4                r~04udJ95
     K09E00W  C2009 03 04.86578411 31 34.11 +43 34 30.7                r~04udJ95
     K09E00W  C2009 03 04.86642411 31 33.52 +43 34 54.6          17.4 Rr~04udJ95
     K09E00W  C2009 03 05.83687510 01 45.47 +72 49 35.1          15.8 Ro~04udJ95
     K09E00W  C2009 03 05.83749910 01 19.23 +72 52 35.1          15.5 Ro~04udJ95
     K09E00W  C2009 03 05.83826610 00 46.53 +72 56 17.5          15.6 Ro~04udJ95
     K09E00W  C2009 03 05.83945309 59 55.37 +73 02 01.8          15.6 Ro~04udJ95
     K09E00W  C2009 03 05.84007609 59 28.20 +73 05 02.4          15.4 Ro~04udJ95
     K09E00W  C2009 03 05.88241109 17 39.87 +76 31 26.7          15.5 Ro~04udJ95
     K09E00W  C2009 03 05.88288409 17 02.56 +76 33 42.1          15.8 Ro~04udJ95
     K09E00W  C2009 03 05.88390509 15 40.39 +76 38 35.3          16.0 Ro~04udJ95
     K09E00W  C2009 03 05.93482807 32 27.36 +80 03 20.7          15.7 Ro~04udJ95
     K09E00W  C2009 03 05.93567907 30 02.05 +80 05 35.3          16.1 Ro~04udJ95
     K09E00W  C2009 03 05.93742407 24 58.58 +80 09 59.2          15.8 Ro~04udJ95
     K09E00W  C2009 03 05.96650705 49 24.90 +80 36 22.4          15.5 Ro~04udJ95
     K09E00W  C2009 03 05.97159105 31 46.24 +80 30 23.3          16.0 Ro~04udJ95
     K09E00W  C2009 03 05.99128704 27 12.10 +79 35 32.1          17.0 Ro~04udJ95
     K09E00W  C2009 03 05.99758304 08 46.59 +79 08 03.3          16.4 Ro~04udJ95
     K09E00W  C2009 03 06.01799403 18 13.21 +77 11 14.3          16.4 Ro~04udJ95
     K09E00W  C2009 03 06.02056803 12 49.41 +76 53 55.1          16.1 Ro~04udJ95
     K09E00W  C2009 03 06.04394802 32 19.72 +73 55 58.2          15.5 Ro~04udJ95
     K09E00W  C2009 03 06.04937702 24 48.08 +73 10 11.6          16.9 Ro~04udJ95
     K09E00W  C2009 03 06.06029202 11 22.01 +71 34 06.4          16.4 Ro~04udJ95
     K09E00W  C2009 03 06.06456602 06 39.09 +70 55 08.9          16.5 Ro~04udJ95
     K09E00W  C2009 03 06.08724101 45 45.75 +67 18 21.6          16.5 Ro~04udJ95
     K09E00W  C2009 03 06.09157801 42 25.32 +66 35 14.8          16.4 Ro~04udJ95
     K09E00W  C2009 03 06.12385601 22 17.60 +61 03 00.1          16.3 Ro~04udJ95
     K09E00W  C2009 03 06.12499101 21 42.57 +60 51 03.0          17.0 Ro~04udJ95
