     K09F00J* C2009 03 17.24376 10 08 16.65 +08 10 19.3          16.0 Vr~05KU703
     K09F00J  C2009 03 17.24862 10 08 37.96 +08 07 57.2          16.7 Vr~05KU703
     K09F00J  C2009 03 17.25341 10 08 58.95 +08 05 37.4          16.1 Vr~05KU703
     K09F00J  C2009 03 17.30916 10 12 59.19 +07 38 20.9          16.9 Rv~05KUH01
     K09F00J  C2009 03 17.31091 10 13 08.57 +07 37 48.7          15.8 Rc~05KU854
     K09F00J  C2009 03 17.31146 10 13 10.93 +07 37 32.5          15.9 Rc~05KU854
     K09F00J  C2009 03 17.31159 10 13 09.65 +07 37 10.6          17.0 Rv~05KUH01
     K09F00J  C2009 03 17.31230 10 13 14.53 +07 37 08.5          16.0 Rc~05KU854
     K09F00J  C2009 03 17.31494710 13 16.58 +07 34 28.7          16.5 Vr~05KUH55
     K09F00J  C2009 03 17.31606110 13 21.45 +07 33 56.2          16.7 Vr~05KUH55
     K09F00J  C2009 03 17.31717510 13 26.30 +07 33 24.2          16.0 Vr~05KUH55
     K09F00J  C2009 03 17.31826910 13 31.06 +07 32 52.5          15.8 Vr~05KUH55
     K09F00J  C2009 03 17.31935810 13 35.81 +07 32 21.0          15.7 Vr~05KUH55
     K09F00J  C2009 03 17.32044510 13 40.54 +07 31 49.5          15.8 Vr~05KUH55
     K09F00J  C2009 03 17.32054 10 13 48.21 +07 32 51.8          16.5 Rv~05KUH01
     K09F00J  C2009 03 17.32153110 13 45.29 +07 31 18.1          16.3 Vr~05KUH55
     K09F00J  C2009 03 17.32225 10 13 55.54 +07 32 02.7          16.9 Rv~05KUH01
     K09F00J  C2009 03 17.32280110 13 50.81 +07 30 41.4          16.6 Vr~05KUH55
     K09F00J  C2009 03 17.32298210 13 51.61 +07 30 36.2          16.6 Vr~05KUH55
     K09F00J  C2009 03 17.32336 10 14 01.68 +07 31 49.5          16.9 Vr~05KU703
     K09F00J  C2009 03 17.32374 10 14 03.33 +07 31 38.6          16.8 Vr~05KU703
     K09F00J  C2009 03 17.32403 10 14 04.56 +07 31 30.2          16.9 Vr~05KU703
     K09F00J  C2009 03 17.32440 10 14 06.10 +07 31 19.2          16.6 Vr~05KU703
     K09F00J  C2009 03 17.32479610 13 59.50 +07 29 43.8          16.7 Vr~05KUH55
     K09F00J 5C2009 03 17.41310 10 20 26.59 +06 48 50.3          15.8 Ro~05KU673
     K09F00J 5C2009 03 17.41588 10 20 38.22 +06 47 32.3                o~05KU673
     K09F00J 5C2009 03 17.41993 10 20 55.23 +06 45 37.7                o~05KU673
     K09F00J 5C2009 03 17.42306 10 21 08.33 +06 44 09.9                o~05KU673
     K09F00J 5C2009 03 17.42769 10 21 27.75 +06 41 59.8                o~05KU673
     K09F00J 5C2009 03 17.43058 10 21 39.91 +06 40 38.2                o~05KU673
     K09F00J .C2009 03 17.61008 10 34 24.44 +05 30 51.9          15.9 Rr~05KUD90
     K09F00J .C2009 03 17.61060 10 34 26.40 +05 30 38.1          15.9 Rr~05KUD90
     K09F00J  C2009 03 17.61140 10 34 31.92 +05 19 03.1          16.0 Vr~05KU900
     K09F00J .C2009 03 17.61149 10 34 29.77 +05 30 14.5          16.0 Rr~05KUD90
     K09F00J  C2009 03 17.61295 10 34 37.83 +05 18 21.9          16.3 Vr~05KU900
     K09F00J  C2009 03 17.61450 10 34 43.74 +05 17 40.7          16.4 Vr~05KU900
     K09F00J  C2009 03 17.84750 10 49 54.17 +03 37 34.3          16.5 Ro~05KUA99
     K09F00J  C2009 03 17.84891 10 49 59.10 +03 37 00.1          16.5 Ro~05KUA99
     K09F00J  C2009 03 17.85050 10 50 04.63 +03 36 21.3          16.5 Ro~05KUA99
     K09F00J  C2009 03 17.92790 10 54 29.84 +03 05 25.2          16.0 Rr~05Zi143
     K09F00J  C2009 03 17.93157 10 54 42.17 +03 03 58.4          16.5 Rr~05Zi143
     K09F00J  C2009 03 17.93509 10 54 53.92 +03 02 35.3          15.8 Rr~05Zi143
     K09F00J  C2009 03 17.93617 10 54 55.47 +03 02 13.4          16.6 Vc~05KU595
     K09F00J  C2009 03 17.93882 10 55 04.35 +03 01 10.9          16.6 Vc~05KU595
     K09F00J  C2009 03 17.94413 10 55 22.06 +02 59 06.2          16.5 Vc~05KU595
     K09F00J  C2009 03 17.99435 10 58 09.82 +02 39 37.0          16.0 Cv~05Zi204
     K09F00J  C2009 03 17.99539 10 58 13.23 +02 39 13.1                v~05Zi204
     K09F00J  C2009 03 17.99652 10 58 16.90 +02 38 47.1                v~05Zi204
     K09F00J  C2009 03 17.99775 10 58 20.94 +02 38 19.0          16.3 Cv~05Zi204
     K09F00J  C2009 03 17.99888 10 58 24.64 +02 37 52.7                v~05Zi204
     K09F00J  C2009 03 18.13697 11 06 16.27 +01 46 20.5                c~05KU924
     K09F00J  C2009 03 18.13720 11 06 16.77 +01 46 15.9                c~05KU924
     K09F00J  C2009 03 18.13742 11 06 17.49 +01 46 10.6                c~05KU924
     K09F00J  C2009 03 18.13764 11 06 18.11 +01 46 07.5                c~05KV924
     K09F00J  C2009 03 18.13786 11 06 18.87 +01 46 02.3                c~05KV924
     K09F00J  C2009 03 18.13808 11 06 19.54 +01 45 58.4                c~05KV924
     K09F00J  C2009 03 18.13829 11 06 20.32 +01 45 51.1                c~05KV924
     K09F00J  C2009 03 18.13851 11 06 20.89 +01 45 48.9                c~05KV924
     K09F00J  C2009 03 18.13872 11 06 21.43 +01 45 43.3                c~05KV924
     K09F00J  C2009 03 18.60219 11 28 45.79 -00 45 35.9          16.2 Vr~05Zi379
