     K09F32P* C2009 03 29.24036 11 37 47.49 +09 21 10.9          20.7 Vr~05vJG96
     K09F32P  C2009 03 29.24792 11 37 44.25 +09 22 12.1          20.7 Vr~05vJG96
     K09F32P  C2009 03 29.25546 11 37 40.94 +09 23 13.8          20.3 Vr~05vJG96
     K09F32P  C2009 03 29.26294 11 37 37.70 +09 24 14.6          20.5 Vr~05vJG96
     K09F32P  C2009 03 29.29616 11 37 22.90 +09 28 49.8          20.8 Vr~05vJG96
     K09F32P  C2009 03 29.29677 11 37 22.65 +09 28 54.3          20.9 Vr~05vJG96
     K09F32P  C2009 03 29.29740 11 37 22.33 +09 28 59.7          20.6 Vr~05vJG96
     K09F32P  C2009 03 29.29801 11 37 22.08 +09 29 04.8          20.7 Vr~05vJG96
     K09F32P  C2009 03 29.37381 11 36 46.93 +09 39 37.8          19.9 Rv~05vJH01
     K09F32P  C2009 03 29.37935 11 36 44.48 +09 40 26.0          20.2 Rv~05vJH01
     K09F32P  C2009 03 29.38602 11 36 41.53 +09 41 23.9          20.2 Rv~05vJH01
     K09F32P  C2009 03 29.89126 11 33 35.49 +11 12 24.4                r~05vJJ95
     K09F32P  C2009 03 29.90251 11 33 28.45 +11 14 58.4                r~05vJJ95
     K09F32P  C2009 03 29.91384 11 33 21.09 +11 17 36.1          19.7 Rr~05vKJ95
     K09F32P  C2009 03 30.23827011 29 45.86 +12 47 13.6          19.1 Vr~05vKH55
     K09F32P  C2009 03 30.24147211 29 42.89 +12 48 14.6          19.2 Vr~05vKH55
     K09F32P  C2009 03 30.24467511 29 39.94 +12 49 15.6          19.1 Vr~05vKH55
     K09F32P  C2009 03 30.30686 11 28 50.98 +13 11 08.6          20.1 Rc~05vK854
     K09F32P  C2009 03 30.31147 11 28 46.41 +13 12 45.5          19.9 Rc~05vK854
     K09F32P  C2009 03 30.31608 11 28 41.67 +13 14 18.8          19.9 Rc~05vK854
