     K09H44S* C2009 04 22.32371 14 25 52.39 -11 12 07.1          20.3 Vr~06OZG96
     K09H44S  C2009 04 22.33118 14 25 58.76 -11 11 51.5          20.5 Vr~06OZG96
     K09H44S  C2009 04 22.33872 14 26 05.28 -11 11 35.3          20.3 Vr~06OZG96
     K09H44S  C2009 04 22.34625 14 26 11.83 -11 11 19.4          20.3 Vr~06OZG96
     K09H44S  C2009 04 22.38269 14 26 43.80 -11 10 00.0          21.2 Vr~06OZG96
     K09H44S  C2009 04 22.38319 14 26 44.19 -11 09 59.2          20.0 Vr~06OZG96
     K09H44S  C2009 04 22.38381 14 26 44.73 -11 09 57.5          20.1 Vr~06OZG96
     K09H44S  C2009 04 22.38443 14 26 45.31 -11 09 56.5          20.8 Vr~06OZG96
     K09H44S  C2009 04 22.69734 14 32 03.96 -10 52 54.1          19.5 Ro~06OZ474
     K09H44S  C2009 04 22.69808 14 32 04.70 -10 52 52.2          19.8 Ro~06OZ474
     K09H44S  C2009 04 22.69966 14 32 06.44 -10 52 47.8          19.7 Ro~06OZ474
     K09H44S  C2009 04 22.70041 14 32 07.17 -10 52 45.4          19.8 Ro~06OZ474
     K09H44S  C2009 04 22.70190 14 32 08.83 -10 52 41.8          20.1 Ro~06OZ474
     K09H44S  C2009 04 23.27826 14 44 55.03 -10 27 27.6          20.0 Vr~06OZG96
     K09H44S  C2009 04 23.27878 14 44 55.78 -10 27 25.8          19.7 Vr~06OZG96
     K09H44S  C2009 04 23.27930 14 44 56.54 -10 27 23.9          19.7 Vr~06OZG96
     K09H44S  C2009 04 23.27981 14 44 57.26 -10 27 22.4          20.2 Vr~06OZG96
     K09H44S  C2009 04 23.28794214 45 03.17 -10 27 15.4          19.9 Vr~06OZH55
     K09H44S  C2009 04 23.29098614 45 07.59 -10 27 03.9          20.0 Vr~06OZH55
     K09H44S  C2009 04 23.29403014 45 12.00 -10 26 52.5          19.7 Vr~06OZH55
     K09H44S  C2009 04 23.48860 14 50 36.16 -10 07 28.6          19.1 Ro~06OZ474
     K09H44S  C2009 04 23.48924 14 50 37.30 -10 07 25.6          19.2 Ro~06OZ474
     K09H44S  C2009 04 23.60144414 53 53.71 -09 59 39.7          18.6 Ro~06OZE10
     K09H44S  C2009 04 23.60226314 53 55.08 -09 59 35.4          18.6 Ro~06OZE10
     K09H44S  C2009 04 23.60850714 54 00.63 -09 58 06.3          19.5 Ro~06OZ474
     K09H44S  C2009 04 23.60954914 54 02.52 -09 58 01.7          19.8 Ro~06OZ474
     K09H44S  C2009 04 23.61053214 54 04.24 -09 57 56.0          19.8 Ro~06OZ474
     K09H44S  C2009 04 23.61145814 54 05.90 -09 57 51.8          19.6 Ro~06OZ474
     K09H44S  C2009 04 23.61202514 54 06.89 -09 57 49.2          19.0 Ro~06OZ474
     K09H44S  C2009 04 26.08162918 37 28.52 +02 40 17.7          19.0 Rr~06hYJ95
     K09H44S  C2009 04 26.08864418 38 47.59 +02 45 14.9          18.6 Rr~06hYJ95
     K09H44S  C2009 04 26.09581518 40 08.64 +02 50 18.1          18.6 Rr~06hYJ95
     K09H44S  C2009 04 26.10319318 41 32.17 +02 55 28.9          19.5 Rr~06hYJ95
     K09H44S  C2009 04 26.11029618 42 52.78 +03 00 29.9          18.7 Rr~06hYJ95
