     K09M00U* C2009 06 19.30659 16 03 30.06 +04 37 32.2          19.2 Vr~07YO703
     K09M00U  C2009 06 19.31145 16 03 28.54 +04 37 52.7          18.9 Vr~07YO703
     K09M00U  C2009 06 19.31625 16 03 26.78 +04 38 09.3          19.2 Vr~07YO703
     K09M00U  C2009 06 19.32112 16 03 25.12 +04 38 29.3          19.6 Vr~07YP703
     K09M00U  C2009 06 19.35050 16 03 15.37 +04 40 25.2          18.6 Vr~07YPG96
     K09M00U  C2009 06 19.35186 16 03 14.94 +04 40 30.2          18.8 Vr~07YPG96
     K09M00U  C2009 06 19.35255 16 03 14.72 +04 40 32.9          18.9 Vr~07YPG96
     K09M00U  C2009 06 19.36067 16 03 12.08 +04 41 05.8          19.2 Vr~07YP703
     K09M00U  C2009 06 19.36141 16 03 11.71 +04 41 10.7          18.8 Vr~07YP703
     K09M00U  C2009 06 19.36285 16 03 11.32 +04 41 13.5          18.7 Vr~07YP703
     K09M00U  C2009 06 19.94849 16 00 16.15 +05 24 36.6          19.1 Vw~07YPB33
     K09M00U  C2009 06 19.95077 16 00 15.19 +05 24 48.0          19.1 Vw~07YPB33
     K09M00U  C2009 06 19.95611 16 00 13.03 +05 25 13.9          18.9 Vw~07YPB33
     K09M00U  C2009 06 21.25571 15 50 04.23 +07 53 12.1          18.1 Vr~07YP703
     K09M00U  C2009 06 21.26142 15 49 59.95 +07 54 03.6          17.9 Vr~07YP703
     K09M00U  C2009 06 21.26288 15 49 58.80 +07 54 17.3          18.0 Vr~07YP703
     K09M00U  C2009 06 21.26433 15 49 57.68 +07 54 30.8          18.1 Vr~07YP703
     K09M00U  C2009 06 21.33679 15 49 02.53 +08 05 42.6          17.7 Vr~07YP703
     K09M00U  C2009 06 21.34000 15 49 00.04 +08 06 13.2          17.9 Vr~07YP703
     K09M00U  C2009 06 21.34318 15 48 57.67 +08 06 43.0          18.3 Vr~07YP703
     K09M00U  C2009 06 21.34391 15 48 57.08 +08 06 50.9          18.6 Rc~07YP854
     K09M00U  C2009 06 21.34632 15 48 55.28 +08 07 13.8          18.5 Rc~07YP854
     K09M00U  C2009 06 21.34639 15 48 55.18 +08 07 13.5          18.1 Vr~07YP703
     K09M00U  C2009 06 21.34884 15 48 53.35 +08 07 38.1          18.2 Rc~07YP854
     K09M00U  C2009 06 21.38564 15 48 25.48 +08 13 27.5          18.2 Vr~07YPG96
     K09M00U  C2009 06 21.38623 15 48 25.05 +08 13 33.1          18.2 Vr~07YPG96
     K09M00U  C2009 06 21.38668 15 48 24.69 +08 13 37.4          18.2 Vr~07YPG96
     K09M00U  C2009 06 21.38724 15 48 24.30 +08 13 43.0          18.2 Vr~07YPG96
     K09M00U .C2009 06 21.59963 15 45 55.70 +08 57 40.7          17.1 Rr~07YPD90
     K09M00U .C2009 06 21.60226 15 45 53.30 +08 58 10.0          17.5 Rr~07YPD90
     K09M00U .C2009 06 21.60490 15 45 50.98 +08 58 39.6          17.3 Rr~07YPD90
     K09M00U  C2009 06 21.92017 15 41 26.63 +09 55 04.5                r~07YPJ95
     K09M00U  C2009 06 21.92117 15 41 25.59 +09 55 18.7                r~07YPJ95
     K09M00U  C2009 06 21.92216 15 41 24.49 +09 55 31.6                r~07YPJ95
     K09M00U  C2009 06 21.92493 15 41 21.54 +09 56 08.5          17.7 Rr~07YPJ95
     K09M00U  C2009 06 21.94598 15 40 53.77 +10 01 21.5          18.7 Vo~07YPB28
     K09M00U  C2009 06 21.95027 15 40 49.03 +10 02 20.0          18.3 Vo~07YPB28
     K09M00U  C2009 06 21.95304 15 40 46.04 +10 02 57.7          17.8 Vo~07YPB28
     K09M00U  C2009 06 21.95509 15 40 43.80 +10 03 25.8          18.0 Vo~07YPB28
     K09M00U  C2009 06 21.97782 15 40 18.40 +10 08 24.3                r~07YP118
     K09M00U  C2009 06 21.98184 15 40 14.02 +10 09 20.2                r~07YP118
     K09M00U  C2009 06 21.98533 15 40 10.20 +10 10 07.9                r~07YP118
     K09M00U  C2009 06 21.98919 15 40 05.99 +10 11 02.3                r~07YP118
     K09M00U  C2009 06 21.99137 15 40 03.59 +10 11 33.1                r~07YP118
     K09M00U  C2009 06 22.15004 15 37 27.32 +10 52 26.3          18.3 Vo~07YPH55
     K09M00U  C2009 06 22.15378 15 37 22.54 +10 53 25.7          18.6 Vo~07YPH55
     K09M00U  C2009 06 22.15565 15 37 20.14 +10 53 55.3          18.7 Vo~07YPH55
     K09M00U  C2009 06 22.17972 15 37 01.92 +11 00 54.8          17.2 Rc~07YP670
     K09M00U  C2009 06 22.18477 15 36 55.24 +11 02 16.8          17.2 Rc~07YP670
