     K09S01H* C2009 09 18.21141 23 14 39.15 -04 00 01.6          21.1 Vr~0980G96
     K09S01H  C2009 09 18.21779 23 14 41.89 -03 58 12.8          21.2 Vr~0980G96
     K09S01H  C2009 09 18.22411 23 14 44.62 -03 56 23.1          21.1 Vr~0980G96
     K09S01H  C2009 09 18.23032 23 14 47.29 -03 54 36.3          20.9 Vr~0980G96
     K09S01H  C2009 09 18.28223 23 15 08.74 -03 40 00.0          20.8 Vr~0980G96
     K09S01H  C2009 09 18.28365 23 15 09.39 -03 39 35.3          21.1 Vr~0980G96
     K09S01H  C2009 09 18.28506 23 15 09.93 -03 39 11.8          21.1 Vr~0980G96
     K09S01H  C2009 09 18.28648 23 15 10.47 -03 38 48.4          20.9 Vr~0980G96
     K09S01H  C2009 09 18.37601 23 15 46.68 -03 14 18.3                r~0980G96
     K09S01H  C2009 09 18.38082 23 15 48.71 -03 13 05.1          21.1 Vr~0980G96
     K09S01H  C2009 09 18.38564 23 15 50.81 -03 11 43.7          21.1 Vr~0980G96
     K09S01H  C2009 09 18.39052 23 15 52.90 -03 10 24.1                r~0980G96
