     K09T00U* C2009 10 10.18978 01 03 04.10 +12 54 55.9          17.6 Vr~09zp703
     K09T00U  C2009 10 10.19028 01 03 04.86 +12 54 47.8          17.5 Vr~09zp703
     K09T00U  C2009 10 10.19078 01 03 05.65 +12 54 39.0          18.2 Vr~09zp703
     K09T00U  C2009 10 10.19126 01 03 06.48 +12 54 31.1          17.7 Vr~09zp703
     K09T00U  C2009 10 10.20144 01 03 22.60 +12 51 44.5          17.7 Vr~09zp703
     K09T00U bC2009 10 10.20159 01 02 22.24 +12 46 50.9                r~09zpJ95
     K09T00U bC2009 10 10.20290 01 02 24.60 +12 46 29.2          17.5 Rr~09zpJ95
     K09T00U  C2009 10 10.20449 01 03 27.36 +12 50 54.7          18.1 Vr~09zp703
     K09T00U  C2009 10 10.20744 01 03 32.04 +12 50 06.0          17.9 Vr~09zp703
     K09T00U  C2009 10 10.21049 01 03 36.64 +12 49 16.9          18.9 Vr~09zp703
     K09T00U  C2009 10 10.31043 01 05 42.15 +12 21 39.0          17.0 Ro~09zpH26
     K09T00U  C2009 10 10.31137 01 05 43.61 +12 21 23.6          16.7 Ro~09zpH26
     K09T00U  C2009 10 10.31227 01 05 45.07 +12 21 08.9          17.6 Ro~09zpH26
     K09T00U  C2009 10 10.31318 01 05 46.12 +12 20 56.5          17.1 Ro~09zpH26
     K09T00U  C2009 10 10.31410 01 05 47.39 +12 20 43.2          17.2 Ro~09zpH26
     K09T00U  C2009 10 10.31502 01 05 48.54 +12 20 30.4          17.3 Ro~09zpH26
     K09T00U  C2009 10 10.36746 01 06 58.62 +12 09 01.7          18.0 Rr~09zpH36
     K09T00U  C2009 10 10.36967 01 07 01.37 +12 08 31.3          18.3 Rr~09zpH36
     K09T00U  C2009 10 10.37186 01 07 04.10 +12 08 01.0          17.9 Rr~09zpH36
     K09T00U  C2009 10 10.45361 01 09 31.28 +12 05 47.2          18.0 Ro~09zp474
     K09T00U  C2009 10 10.45454 01 09 32.20 +12 05 36.1          18.1 Ro~09zp474
     K09T00U  C2009 10 10.45523 01 09 32.98 +12 05 27.8          17.9 Ro~09zp474
     K09T00U  C2009 10 10.45766 01 09 35.51 +12 04 58.2          18.4 Ro~09zp474
     K09T00U  C2009 10 10.45859 01 09 36.50 +12 04 47.1          17.9 Ro~09zp474
     K09T00U  C2009 10 10.88984 01 16 32.07 +10 43 48.0                c~09zp587
     K09T00U  C2009 10 10.89134 01 16 32.93 +10 43 37.3                c~09zp587
     K09T00U  C2009 10 10.89264 01 16 33.68 +10 43 30.1          18.7 Rc~09zp587
     K09T00U  C2009 10 10.95346 01 17 08.71 +10 36 39.5                v~09zp204
     K09T00U  C2009 10 10.98875 01 17 27.64 +10 32 49.1                v~09zp204
     K09T00U  C2009 10 10.99372 01 17 30.27 +10 32 17.1          18.6 Cv~09zp204
     K09T00U  C2009 10 11.89559 01 24 38.36 +09 24 50.6                r~09zpJ95
     K09T00U  C2009 10 11.90067 01 24 39.59 +09 24 35.5                r~09zpJ95
     K09T00U  C2009 10 11.90712 01 24 41.14 +09 24 16.7          19.5 Rr~09zpJ95
     K09T00U  C2009 10 12.15873 01 26 00.35 +09 13 45.9          20.2 Vo~09zp291
     K09T00U  C2009 10 12.16271 01 26 01.14 +09 13 35.8          20.1 Vo~09zp291
     K09T00U  C2009 10 12.17068 01 26 02.69 +09 13 16.6          20.3 Vo~09zp291
     K09T00U  C2009 10 12.17465 01 26 03.41 +09 13 07.0          20.4 Vo~09zp291
     K09T00U  C2009 10 12.17871 01 26 04.16 +09 12 57.1          20.4 Vo~09zp291
     K09T00U  C2009 10 12.39367 01 26 35.16 +09 04 25.1          20.0 Rc~09zp926
     K09T00U  C2009 10 12.39661 01 26 35.56 +09 04 17.8          20.1 Rc~09zp926
     K09T00U  C2009 10 12.39955 01 26 35.98 +09 04 10.8          20.1 Rc~09zp926
     K09T00U  C2009 10 12.51357 01 27 11.60 +09 05 38.7          19.4 Ro~09zp474
     K09T00U  C2009 10 12.52228 01 27 12.69 +09 05 19.3          20.0 Ro~09zp474
     K09T00U  C2009 10 12.52916 01 27 13.57 +09 05 05.2          19.1 Ro~09zp474
     K09T00U  C2009 10 12.94386 01 28 36.40 +08 45 10.8                r~09zpJ95
     K09T00U  C2009 10 12.96751 01 28 38.89 +08 44 32.5          20.8 Rr~09zpJ95
     K09T00U  C2009 10 14.20717 01 31 20.32 +08 19 08.2          21.2 Vo~09zp291
     K09T00U  C2009 10 14.21105 01 31 20.46 +08 19 04.5                o~09zp291
     K09T00U  C2009 10 14.21479 01 31 20.60 +08 19 01.5          21.3 Vo~09zp291
     K09T00U  C2009 10 14.21547 01 31 20.49 +08 18 59.0          20.2 Vr~09zpG96
     K09T00U  C2009 10 14.22170 01 31 20.71 +08 18 53.5          21.4 Vr~09zpG96
     K09T00U  C2009 10 14.22778 01 31 20.96 +08 18 47.8          21.4 Vr~09zpG96
     K09T00U  C2009 10 14.23400 01 31 21.18 +08 18 42.5          21.3 Vr~09zpG96
     K09T00U  C2009 10 15.20777 01 32 39.06 +08 05 24.8          21.8 Vo~09zp291
     K09T00U  C2009 10 15.21316 01 32 39.17 +08 05 21.4          21.4 Vo~09zp291
     K09T00U  C2009 10 15.21859 01 32 39.27 +08 05 17.8          21.8 Vo~09zp291
     K09T00U 2C2009 10 18.46105401 34 51.104+07 41 26.28         22.2 Ro~0AHe568
     K09T00U 2C2009 10 18.46363501 34 51.071+07 41 25.47         22.2 Ro~0AHe568
