     K09W06J* C2009 11 19.26657 03 28 02.56 +32 14 29.4          18.5 Vr~0BJu703
     K09W06J  C2009 11 19.27502 03 28 01.84 +32 16 48.0          18.5 Vr~0BJu703
     K09W06J  C2009 11 19.29172 03 28 00.40 +32 21 25.8          18.5 Vr~0BJu703
     K09W06J  C2009 11 19.32735 03 27 54.51 +32 31 07.7          18.4 Ro~0BJuH01
     K09W06J  C2009 11 19.32820 03 27 57.20 +32 31 49.2          18.7 Rc~0BJu854
     K09W06J  C2009 11 19.33102 03 27 56.96 +32 32 38.9          18.6 Rc~0BJu854
     K09W06J  C2009 11 19.33132 03 27 54.20 +32 32 16.0          18.4 Ro~0BJuH01
     K09W06J  C2009 11 19.33666 03 27 56.46 +32 34 17.6          18.7 Rc~0BJu854
     K09W06J  C2009 11 19.35985 03 27 54.61 +32 41 05.8          18.3 Vr~0BJu703
     K09W06J  C2009 11 19.36037 03 27 46.00 +32 39 07.6          18.4 Rr~0BJuH36
     K09W06J  C2009 11 19.36142 03 27 54.50 +32 41 34.2          18.4 Vr~0BJu703
     K09W06J  C2009 11 19.36258 03 27 45.98 +32 39 46.6          18.3 Rr~0BJuH36
     K09W06J  C2009 11 19.36300 03 27 54.43 +32 42 02.5          18.1 Vr~0BJu703
     K09W06J  C2009 11 19.36457 03 27 54.32 +32 42 30.3          18.3 Vr~0BJu703
     K09W06J  C2009 11 19.36478 03 27 45.98 +32 40 25.0          18.4 Rr~0BJuH36
     K09W06J  C2009 11 19.36698 03 27 45.97 +32 41 03.8          18.6 Rr~0BJuH36
     K09W06J  C2009 11 19.36918 03 27 45.95 +32 41 42.7          18.4 Rr~0BJuH36
     K09W06J  C2009 11 19.42694 03 27 52.39 +33 01 56.9          18.2 Vr~0BJuG96
     K09W06J  C2009 11 19.42729 03 27 52.40 +33 02 03.9          18.3 Vr~0BJuG96
     K09W06J  C2009 11 19.42765 03 27 52.39 +33 02 10.7          18.2 Vr~0BJuG96
     K09W06J  C2009 11 19.42808 03 27 52.42 +33 02 19.2          18.3 Vr~0BJuG96
     K09W06J  C2009 11 19.45089 03 27 52.71 +33 10 04.3          18.6 Rc~0BJu926
     K09W06J  C2009 11 19.45266 03 27 52.79 +33 10 40.1          18.6 Rc~0BJu926
     K09W06J  C2009 11 19.45444 03 27 52.90 +33 11 16.0          18.6 Rc~0BJu926
     K09W06J  C2009 11 19.56264 03 29 32.70 +33 58 43.5          17.8 Vr~0BJu900
     K09W06J  C2009 11 19.56399 03 29 32.71 +33 59 23.0          17.7 Vr~0BJu900
     K09W06J  C2009 11 19.56534 03 29 32.85 +34 00 02.4          17.5 Vr~0BJu900
     K09W06J  C2009 11 19.56668 03 29 32.78 +34 00 40.6          17.5 Vr~0BJu900
     K09W06J  C2009 11 19.85317103 32 39.41 +37 12 19.4          17.4 Vv~0BJuB03
     K09W06J  C2009 11 19.85635903 32 41.09 +37 15 36.4          17.3 Vv~0BJuB03
     K09W06J  C2009 11 19.85954603 32 42.80 +37 18 55.6          17.2 Vv~0BJuB03
     K09W06J  C2009 11 19.86348903 32 44.86 +37 23 03.6          17.0 Vv~0BJuB03
     K09W06J  C2009 11 19.86667403 32 46.50 +37 26 26.6          16.7 Vv~0BJuB03
     K09W06J  C2009 11 19.86989803 32 48.29 +37 29 53.3          17.2 Vv~0BJuB03
     K09W06J  C2009 11 19.89658503 33 23.00 +37 57 17.9          16.9 Rr~0BJuJ95
     K09W06J  C2009 11 19.90060103 33 25.83 +38 02 02.9          17.1 Rr~0BJuJ95
     K09W06J  C2009 11 19.91084303 33 33.04 +38 14 28.9          17.2 Rr~0BJuJ95
     K09W06J  C2009 11 19.91215603 33 34.03 +38 16 05.4          17.2 Rr~0BJuJ95
     K09W06J  C2009 11 19.92187703 33 40.97 +38 28 18.6          17.1 Rr~0BJuJ95
     K09W06J  C2009 11 19.92382103 33 42.40 +38 30 48.1          17.0 Rr~0BJuJ95
     K09W06J  C2009 11 19.94317703 33 56.93 +38 56 30.4          16.9 Rr~0BJuJ95
     K09W06J  C2009 11 19.94484003 33 58.23 +38 58 47.5          17.0 Rr~0BJuJ95
     K09W06J  C2009 11 19.94822603 34 00.85 +39 03 29.1          17.0 Rr~0BJuJ95
     K09W06J  C2009 11 19.96271 03 33 56.73 +39 25 00.2          17.0 Vo~0BJuA74
     K09W06J  C2009 11 19.96471 03 33 58.30 +39 27 54.6          17.1 Vo~0BJuA74
     K09W06J  C2009 11 19.96671 03 33 59.85 +39 30 51.2          17.1 Vo~0BJuA74
     K09W06J  C2009 11 19.97303 03 34 04.86 +39 40 16.9          17.4 Vo~0BJuA74
     K09W06J  C2009 11 19.97836 03 34 09.23 +39 48 27.3          17.1 Vo~0BJvA74
     K09W06J  C2009 11 20.09671 03 40 58.30 +43 44 01.3          16.3 Rc~0BJv926
     K09W06J  C2009 11 20.09731 03 41 00.09 +43 45 40.3          16.2 Rc~0BJv926
     K09W06J tC2009 11 20.29066303 59 43.70 +59 53 58.3          17.8 Vo~0BlnH21
     K09W06J tC2009 11 20.29121603 59 52.64 +59 58 57.8          17.2 Vo~0BlnH21
     K09W06J tC2009 11 20.29250804 00 14.01 +60 10 42.3          17.5 Vo~0BlnH21
     K09W06J tC2009 11 20.29287604 00 19.98 +60 14 03.0          18.2 Vo~0BlnH21
