     K09W52Q* C2009 11 23.19879 03 04 26.83 +14 30 33.9          20.5 Vr~0BmnG96
     K09W52Q  C2009 11 23.20425 03 04 28.16 +14 31 47.6          20.9 Vr~0BmnG96
     K09W52Q  C2009 11 23.20975 03 04 29.46 +14 33 01.4          20.6 Vr~0BmnG96
     K09W52Q  C2009 11 23.21524 03 04 30.79 +14 34 16.2          21.1 Vr~0BmnG96
     K09W52Q  C2009 11 23.23995 03 04 36.69 +14 39 52.1          21.7 Vr~0BmnG96
     K09W52Q  C2009 11 23.24066 03 04 36.88 +14 40 01.2          21.3 Vr~0BmnG96
     K09W52Q  C2009 11 23.24140 03 04 37.06 +14 40 12.8          21.5 Vr~0BmnG96
     K09W52Q  C2009 11 23.24211 03 04 37.21 +14 40 21.0          21.4 Vr~0BmnG96
     K09W52Q  C2009 11 23.25200 03 04 38.53 +14 42 29.6          20.8 Ro~0BmnH01
     K09W52Q  C2009 11 23.25900 03 04 40.23 +14 44 05.5          20.4 Ro~0BmnH01
     K09W52Q  C2009 11 23.26446 03 04 41.54 +14 45 20.5          20.6 Ro~0BmnH01
     K09W52Q  C2009 11 23.26998 03 04 42.90 +14 46 36.2          20.6 Ro~0BmnH01
     K09W52Q  C2009 11 23.37659 03 05 11.52 +15 11 43.1          21.9 Rc~0Bmn926
     K09W52Q  C2009 11 23.38035 03 05 12.53 +15 12 36.1          21.6 Rc~0Bmn926
     K09W52Q  C2009 11 23.38410 03 05 13.60 +15 13 30.3          21.8 Rc~0Bmn926
     K09W52Q  C2009 11 24.38679 03 13 41.54 +20 38 04.9          20.0 Rc~0Bmn926
     K09W52Q  C2009 11 24.39432 03 13 45.97 +20 41 15.4          20.0 Rc~0Bmn926
     K09W52Q  C2009 11 25.81079803 49 27.23 +38 24 47.8          20.0 Rr~0BmnJ95
     K09W52Q  C2009 11 25.81927603 49 52.56 +38 35 42.9          19.6 Rr~0BmnJ95
     K09W52Q  C2009 11 25.82754403 50 17.50 +38 46 26.2          19.1 Rr~0BmnJ95
     K09W52Q  C2009 11 25.83555303 50 41.86 +38 56 52.7          19.6 Rr~0BmnJ95
