     K09W53Z* C2009 11 23.28123 03 49 30.39 +16 08 49.5          21.4 Vr~0BmpG96
     K09W53Z  C2009 11 23.28708 03 49 27.58 +16 09 31.0          21.1 Vr~0BmpG96
     K09W53Z  C2009 11 23.29292 03 49 24.67 +16 10 13.0          20.2 Vr~0BmpG96
     K09W53Z  C2009 11 23.29872 03 49 21.82 +16 10 54.0          20.8 Vr~0BmpG96
     K09W53Z  C2009 11 23.31085 03 49 15.79 +16 12 20.9                r~0BmpG96
     K09W53Z  C2009 11 23.31155 03 49 15.49 +16 12 27.0          21.9 Vr~0BmpG96
     K09W53Z  C2009 11 23.31226 03 49 15.08 +16 12 31.9                r~0BmpG96
     K09W53Z  C2009 11 23.31292 03 49 14.86 +16 12 35.9          21.9 Vr~0BmpG96
     K09W53Z  C2009 11 23.34954 03 48 56.71 +16 16 58.2                r~0BmpG96
     K09W53Z  C2009 11 23.35090 03 48 56.07 +16 17 08.2                r~0BmpG96
     K09W53Z  C2009 11 23.35236 03 48 55.35 +16 17 18.3          21.2 Vr~0BmpG96
     K09W53Z  C2009 11 24.27873 03 41 22.66 +18 09 31.4          21.0 Vr~0BmpG96
     K09W53Z  C2009 11 24.27935 03 41 22.41 +18 09 35.5          21.8 Vr~0BmpG96
     K09W53Z  C2009 11 24.27999 03 41 21.98 +18 09 40.2          21.6 Vr~0BmpG96
     K09W53Z  C2009 11 24.28056 03 41 21.69 +18 09 45.2          21.6 Vr~0BmpG96
     K09W53Z  C2009 11 24.44903 03 39 54.17 +18 30 20.1          21.5 Rc~0Bmp926
     K09W53Z  C2009 11 24.45278 03 39 52.20 +18 30 47.7          20.9 Rc~0Bmp926
     K09W53Z  C2009 11 24.45654 03 39 50.26 +18 31 15.4          20.9 Rc~0Bmp926
     K09W53Z  C2009 11 26.20463 03 24 24.76 +22 09 29.5          21.3 Vr~0BmpG96
     K09W53Z  C2009 11 26.21056 03 24 21.38 +22 10 14.0          22.1 Vr~0BmpG96
     K09W53Z  C2009 11 26.22248 03 24 14.61 +22 11 44.4          20.8 Vr~0BmpG96
     K09W53Z  C2009 11 26.22829 03 24 11.26 +22 12 29.0          21.5 Vr~0BmpG96
