     K09X02Q* C2009 12 13.19944 06 46 09.01 +59 57 40.0          19.7 Vr~0CLi703
     K09X02Q  C2009 12 13.20399 06 46 11.89 +59 59 55.3          19.4 Vr~0CLi703
     K09X02Q  C2009 12 13.20862 06 46 14.59 +60 02 12.4          19.5 Vr~0CLi703
     K09X02Q  C2009 12 13.21327 06 46 17.58 +60 04 30.3          19.2 Vr~0CLi703
     K09X02Q  C2009 12 13.23478 06 46 30.61 +60 15 08.8          19.6 Vr~0CLi703
     K09X02Q  C2009 12 13.23536 06 46 31.00 +60 15 27.7          19.5 Vr~0CLi703
     K09X02Q  C2009 12 13.23594 06 46 31.29 +60 15 42.6          19.4 Vr~0CLi703
     K09X02Q  C2009 12 13.23650 06 46 31.69 +60 15 59.5          19.4 Vr~0CLi703
     K09X02Q  C2009 12 13.24554 06 46 37.20 +60 20 30.1          19.3 Vr~0CLi703
     K09X02Q  C2009 12 13.24613 06 46 37.48 +60 20 49.5          19.2 Vr~0CLi703
     K09X02Q  C2009 12 13.24731 06 46 38.28 +60 21 25.1          19.2 Vr~0CLi703
     K09X02Q  C2009 12 13.27117 06 46 52.64 +60 33 23.5          19.5 Vr~0CLi703
     K09X02Q  C2009 12 13.29925 06 47 09.60 +60 47 39.3                r~0CLi703
     K09X02Q  C2009 12 13.29983 06 47 09.96 +60 47 55.9          19.1 Vr~0CLi703
     K09X02Q  C2009 12 13.30040 06 47 10.21 +60 48 11.1                r~0CLi703
     K09X02Q  C2009 12 13.30101 06 47 10.64 +60 48 31.9          19.0 Vr~0CLi703
