     K10K37J* C2010 05 23.18476 14 50 39.01 -07 40 43.5          19.8 Vr~0Ht2G96
     K10K37J  C2010 05 23.19080 14 50 38.74 -07 40 00.4          19.9 Vr~0Ht2G96
     K10K37J  C2010 05 23.19685 14 50 38.42 -07 39 17.9          19.4 Vr~0Ht2G96
     K10K37J  C2010 05 23.22994 14 50 36.74 -07 35 25.4          21.2 Vr~0Ht2G96
     K10K37J  C2010 05 23.23667 14 50 36.38 -07 34 36.8          21.0 Vr~0Ht2G96
     K10K37J  C2010 05 23.24347 14 50 35.91 -07 33 50.1          21.0 Vr~0Ht2G96
     K10K37J  C2010 05 23.25020 14 50 35.62 -07 33 00.7          21.4 Vr~0Ht2G96
     K10K37J  C2010 05 23.25961 14 50 35.16 -07 31 54.1          19.7 Vr~0Ht2G96
     K10K37J  C2010 05 23.26137 14 50 35.08 -07 31 41.4          19.7 Vr~0Ht2G96
     K10K37J  C2010 05 23.26311 14 50 34.98 -07 31 29.6          19.6 Vr~0Ht2G96
     K10K37J  C2010 05 23.26488 14 50 34.90 -07 31 16.5          19.7 Vr~0Ht2G96
     K10K37J  C2010 05 23.26859 14 50 34.69 -07 30 50.2          19.8 Vr~0Ht2G96
     K10K37J  C2010 05 23.27622 14 50 34.28 -07 29 56.2          19.8 Vr~0Ht2G96
     K10K37J  C2010 05 23.28388 14 50 33.89 -07 29 01.8          19.4 Vr~0Ht2G96
     K10K37J  C2010 05 23.30669914 50 31.27 -07 26 26.1          19.5 Vr~0Ht2H21
     K10K37J  C2010 05 23.30965214 50 31.16 -07 26 04.7          19.6 Vr~0Ht2H21
     K10K37J  C2010 05 23.31245514 50 31.06 -07 25 44.2          19.7 Vr~0Ht2H21
     K10K37J  C2010 05 23.33186 14 50 31.64 -07 23 18.8          20.0 Rc~0Ht2854
     K10K37J  C2010 05 23.34343 14 50 31.03 -07 21 58.8          20.1 Rc~0Ht2854
     K10K37J  C2010 05 23.35496 14 50 30.49 -07 20 36.8          20.2 Rc~0Ht2854
