     K10L64F* S2010 06 03.05874 10 32 34.49 -18 35 18.8                L~0IoxC51
     K10L64F  s2010 06 03.05874 1 - 6260.9020 + 2188.9155 - 1941.8664   ~0IoxC51
     K10L64F  S2010 06 03.19105 10 32 44.46 -18 40 06.6                L~0IoxC51
     K10L64F  s2010 06 03.19105 1 - 6265.0065 + 2173.9231 - 1945.0093   ~0IoxC51
     K10L64F  S2010 06 03.25713 10 32 49.49 -18 42 29.6                L~0IoxC51
     K10L64F  s2010 06 03.25713 1 - 6257.9486 + 2157.3582 - 1985.9506   ~0IoxC51
     K10L64F  S2010 06 03.25726 10 32 49.46 -18 42 30.3                L~0IoxC51
     K10L64F  s2010 06 03.25726 1 - 6276.2017 + 2175.7393 - 1906.4915   ~0IoxC51
     K10L64F  S2010 06 03.32335 10 32 54.20 -18 44 54.3                L~0IoxC51
     K10L64F  s2010 06 03.32335 1 - 6269.4669 + 2159.3180 - 1947.2801   ~0IoxC51
     K10L64F  S2010 06 03.38944 10 32 59.56 -18 47 16.7                L~0IoxC51
     K10L64F  s2010 06 03.38944 1 - 6262.5642 + 2142.8041 - 1988.0788   ~0IoxC51
     K10L64F  S2010 06 03.45565 10 33 04.50 -18 49 40.5                L~0IoxC51
     K10L64F  s2010 06 03.45565 1 - 6273.9149 + 2144.6802 - 1950.0497   ~0IoxC51
     K10L64F  S2010 06 03.52174 10 33 09.55 -18 52 02.7                L~0IoxC51
     K10L64F  s2010 06 03.52174 1 - 6266.1500 + 2127.6541 - 1993.2293   ~0IoxC51
     K10L64F  S2010 06 03.65404 10 33 19.63 -18 56 49.3                L~0IoxC51
     K10L64F  s2010 06 03.65404 1 - 6269.9761 + 2112.3563 - 1997.2026   ~0IoxC51
     K10L64F  S2010 06 03.72026 10 33 24.59 -18 59 13.0                L~0IoxC51
     K10L64F  s2010 06 03.72026 1 - 6281.5549 + 2114.0140 - 1958.7901   ~0IoxC51
     K10L64F  S2010 06 03.98474 10 33 44.99 -19 08 43.5                L~0IoxC51
     K10L64F  s2010 06 03.98474 1 - 6270.7840 + 2065.9035 - 2043.1575   ~0IoxC51
     K10L64F  S2010 06 04.05096 10 33 50.21 -19 11 05.9                L~0IoxC51
     K10L64F  s2010 06 04.05096 1 - 6282.1774 + 2067.2890 - 2005.9227   ~0IoxC51
     K10L64F  S2010 06 04.11704 10 33 55.28 -19 13 28.6                L~0IoxC51
     K10L64F  s2010 06 04.11704 1 - 6274.2293 + 2050.4817 - 2047.3224   ~0IoxC51
     K10L64F  S2010 06 04.18326 10 34 00.34 -19 15 51.0                L~0IoxC51
     K10L64F  s2010 06 04.18326 1 - 6285.9289 + 2052.2160 - 2009.1314   ~0IoxC51
     K10L64F  S2010 06 04.31556 10 34 10.88 -19 20 38.9                L~0IoxC51
     K10L64F  s2010 06 04.31556 1 - 6290.0620 + 2037.5517 - 2011.4254   ~0IoxC51
     K10L64F  S2010 06 04.44774 10 34 21.04 -19 25 20.7                L~0IoxC51
     K10L64F  s2010 06 04.44774 1 - 6274.3588 + 2004.4751 - 2093.1269   ~0IoxC51
     K10L64F  S2010 06 04.44787 10 34 21.01 -19 25 21.3                L~0IoxC51
     K10L64F  s2010 06 04.44787 1 - 6294.2271 + 2022.8690 - 2014.0999   ~0IoxC51
     K10L64F  S2010 06 04.58004 10 34 31.35 -19 30 03.8                L~0IoxC51
     K10L64F  s2010 06 04.58004 1 - 6277.6449 + 1989.3210 - 2097.4848   ~0IoxC51
     K10L64F  S2010 06 04.71235 10 34 41.74 -19 34 49.5                L~0IoxC51
     K10L64F  s2010 06 04.71235 1 - 6281.5090 + 1974.1740 - 2100.3384   ~0IoxC51
     K10L64F  S2010 06 04.97696 10 35 02.69 -19 44 16.3                L~0IoxC51
     K10L64F  s2010 06 04.97696 1 - 6289.1678 + 1944.4506 - 2105.3460   ~0IoxC51
     K10L64F  S2010 06 05.10926 10 35 13.19 -19 49 00.3                L~0IoxC51
     K10L64F  s2010 06 05.10926 1 - 6292.2558 + 1928.9616 - 2109.6090   ~0IoxC51
