     K10N00N* C2010 07 06.44094 20 49 17.15 -11 51 38.9          20.0 Vr~0KBuG96
     K10N00N  C2010 07 06.44803 20 49 24.60 -11 50 12.4          20.0 Vr~0KBuG96
     K10N00N  C2010 07 06.45525 20 49 32.22 -11 48 45.6          20.4 Vr~0KBuG96
     K10N00N  C2010 07 06.46249 20 49 39.86 -11 47 17.6          20.1 Vr~0KBuG96
     K10N00N  C2010 07 07.27256321 03 24.32 -09 44 28.6          20.7 Vr~0KBuH21
     K10N00N  C2010 07 07.27390521 03 25.13 -09 44 20.0          20.6 Vr~0KBuH21
     K10N00N  C2010 07 07.27487721 03 25.73 -09 44 13.5          20.7 Vr~0KBuH21
     K10N00N  C2010 07 07.29885 21 03 51.55 -09 40 26.2          20.4 Vr~0KBuG96
     K10N00N  C2010 07 07.30255 21 03 53.60 -09 40 01.2          20.8 Vr~0KBuG96
     K10N00N  C2010 07 07.30621 21 03 55.72 -09 39 35.6          20.9 Vr~0KBuG96
     K10N00N  C2010 07 07.30991 21 03 57.78 -09 39 11.0          20.7 Vr~0KBuG96
