     K11D04X* C2011 02 25.19028 09 00 07.59 +13 05 49.9          21.9 Vr~0TBZG96
     K11D04X  C2011 02 25.19840 09 00 15.19 +13 05 25.5          20.9 Vr~0TBZG96
     K11D04X  C2011 02 25.20654 09 00 22.75 +13 05 02.0          21.1 Vr~0TBZG96
     K11D04X  C2011 02 25.21476 09 00 30.24 +13 04 38.7          21.7 Vr~0TBZG96
     K11D04X  C2011 02 25.23575 09 00 48.99 +13 03 32.0          21.4 Ro~0TBZH01
     K11D04X  C2011 02 25.24415 09 00 56.70 +13 03 06.7          21.5 Ro~0TBZH01
     K11D04X  C2011 02 25.25438 09 01 06.00 +13 02 36.6          20.7 Ro~0TBZH01
     K11D04X  C2011 02 25.25810 09 01 09.37 +13 02 25.5          20.5 Ro~0TBZH01
     K11D04X  C2011 02 25.36186 09 02 42.68 +12 57 20.4                r~0TBZG96
     K11D04X  C2011 02 25.36280 09 02 43.50 +12 57 18.7                r~0TBZG96
     K11D04X  C2011 02 25.36374 09 02 44.33 +12 57 14.5          20.9 Vr~0TBZG96
     K11D04X  C2011 02 25.36470 09 02 45.21 +12 57 13.3          20.6 Vr~0TBZG96
