     K11F16Q* C2011 03 28.31043 12 01 32.41 +00 01 44.7          20.7 Vr~0U6tG96
     K11F16Q  C2011 03 28.31654 12 01 39.68 +00 01 12.4          21.0 Vr~0U6tG96
     K11F16Q  C2011 03 28.32179 12 01 45.87 +00 00 44.7          20.6 Vr~0U6tG96
     K11F16Q  C2011 03 28.32699 12 01 51.81 +00 00 18.9          22.2 Vr~0U6tG96
     K11F16Q  C2011 03 28.35179 12 02 21.19 -00 01 51.9          21.3 Vr~0U6tG96
     K11F16Q  C2011 03 28.35248 12 02 22.13 -00 01 56.2                r~0U6tG96
     K11F16Q  C2011 03 28.35318 12 02 22.96 -00 01 59.2          21.5 Vr~0U6tG96
     K11F16Q  C2011 03 28.35387 12 02 23.72 -00 02 02.7          20.5 Vr~0U6tG96
     K11F16Q  C2011 03 28.38727 12 03 03.10 -00 04 56.4          21.5 Vr~0U6tG96
     K11F16Q  C2011 03 28.38787 12 03 03.87 -00 04 59.9          20.9 Vr~0U6tG96
     K11F16Q  C2011 03 28.38843 12 03 04.60 -00 05 03.0          21.1 Vr~0U6tG96
     K11F16Q  C2011 03 28.38902 12 03 05.18 -00 05 05.8          20.8 Vr~0U6tG96
     K11F16Q  C2011 03 29.33107 12 21 33.22 -01 21 27.7          20.7 Vr~0U6tG96
     K11F16Q  C2011 03 29.33259 12 21 34.77 -01 21 35.0          20.9 Vr~0U6tG96
     K11F16Q  C2011 03 29.33413 12 21 36.32 -01 21 41.6          21.1 Vr~0U6tG96
     K11F16Q  C2011 03 29.33567 12 21 37.94 -01 21 48.6          21.4 Vr~0U6tG96
