     K11S52R* C2011 09 23.36266 00 49 04.00 +05 07 01.3          21.1 Vr~0YZ2G96
     K11S52R  C2011 09 23.36789 00 49 03.75 +05 06 59.5          21.2 Vr~0YZ2G96
     K11S52R  C2011 09 23.39843 00 49 02.35 +05 06 47.9          20.9 Vr~0YZ2G96
     K11S52R  C2011 09 23.40782 00 49 01.92 +05 06 44.3          20.0 Vr~0YZ2G96
     K11S52R  C2011 09 24.39722 00 48 17.42 +05 00 27.5          21.1 Vr~0YZ2G96
     K11S52R  C2011 09 24.40263 00 48 17.13 +05 00 25.3          21.5 Vr~0YZ2G96
     K11S52R  C2011 09 24.40806 00 48 16.92 +05 00 23.5          21.6 Vr~0YZ2G96
     K11S52R  C2011 09 24.41344 00 48 16.66 +05 00 21.4          21.4 Vr~0YZ2G96
     K11S52R  C2011 09 26.44592 00 46 43.805+04 47 16.94         21.5 wL~0YZ2F51
     K11S52R  C2011 09 26.46662 00 46 42.790+04 47 08.58         21.8 wL~0YZ2F51
     K11S52R  C2011 09 26.48069 00 46 42.168+04 47 03.42         21.6 wL~0YZ2F51
