     K11Y63C* C2011 12 31.38732 06 47 40.76 +34 46 37.4                r~0c0BG96
     K11Y63C  C2011 12 31.39062 06 47 37.29 +34 47 23.9          20.5 Vr~0c0BG96
     K11Y63C  C2011 12 31.39390 06 47 33.83 +34 48 09.7                r~0c0BG96
     K11Y63C  C2011 12 31.39722 06 47 30.25 +34 48 56.8                r~0c0BG96
     K11Y63C  C2011 12 31.42898 06 46 58.26 +34 55 59.3          20.3 Vr~0c0BG96
     K11Y63C  C2011 12 31.42938 06 46 57.90 +34 56 04.4          20.1 Vr~0c0BG96
     K11Y63C  C2011 12 31.42979 06 46 57.54 +34 56 08.9          20.0 Vr~0c0BG96
     K11Y63C  C2011 12 31.43021 06 46 57.10 +34 56 14.5          20.4 Vr~0c0BG96
     K11Y63C  C2011 12 31.47011 06 46 20.49 +35 04 25.0          20.5 Vr~0c0BG96
     K11Y63C  C2011 12 31.47049 06 46 20.17 +35 04 28.9          21.2 Vr~0c0BG96
     K11Y63C  C2011 12 31.47092 06 46 19.81 +35 04 34.0          21.1 Vr~0c0BG96
     K11Y63C  C2012 01 01.32262 06 40 07.78 +37 01 46.3          21.7 Vr~0c0BG96
     K11Y63C  C2012 01 01.32368 06 40 07.35 +37 01 50.4          22.2 Vr~0c0BG96
     K11Y63C  C2012 01 01.32420 06 40 07.10 +37 01 53.3          21.3 Vr~0c0BG96
