     K12BC3P* C2012 01 31.31538 08 26 11.50 +03 11 38.8          21.7 Vr~0d7fG96
     K12BC3P  C2012 01 31.31596 08 26 11.58 +03 11 41.0          21.2 Vr~0d7fG96
     K12BC3P  C2012 01 31.31654 08 26 11.58 +03 11 43.9          21.6 Vr~0d7fG96
     K12BC3P  C2012 01 31.31712 08 26 11.61 +03 11 46.7          21.8 Vr~0d7fG96
     K12BC3P  C2012 01 31.32670 08 26 11.74 +03 12 33.3          22.0 Vr~0d7fG96
     K12BC3P  C2012 01 31.32729 08 26 11.75 +03 12 35.1                r~0d7fG96
     K12BC3P  C2012 01 31.32788 08 26 11.78 +03 12 38.8          21.4 Vr~0d7fG96
     K12BC3P  C2012 01 31.32846 08 26 11.88 +03 12 45.0          22.3 Vr~0d7fG96
     K12BC3P  C2012 01 31.33443 08 26 11.89 +03 13 10.4          21.5 Vr~0d7fG96
     K12BC3P  C2012 01 31.33499 08 26 11.93 +03 13 13.4                r~0d7fG96
     K12BC3P  C2012 02 01.22730 08 27 23.04 +04 23 01.9          21.9 Vr~0d7fG96
     K12BC3P  C2012 02 01.22789 08 27 22.96 +04 23 04.2          21.5 Vr~0d7fG96
     K12BC3P  C2012 02 01.22847 08 27 23.04 +04 23 06.5          21.9 Vr~0d7fG96
     K12BC3P  C2012 02 01.22903 08 27 23.00 +04 23 10.0          21.7 Vr~0d7fG96
