     K14HJ9E*5C2014 04 28.33566 15 10 06.49 -27 01 33.0          23.2 VL~1CsMW84
     K14HJ9E 5C2014 04 28.34236 15 10 05.58 -27 01 33.7                L~1CsMW84
     K14HJ9E 5C2014 04 28.34563 15 10 05.15 -27 01 34.2                L~1CsMW84
     K14HJ9E 5C2014 04 29.32223 15 08 09.62 -27 04 27.9          22.4 VL~1CsMW84
     K14HJ9E 5C2014 04 29.32538 15 08 09.20 -27 04 28.2                L~1CsMW84
     K14HJ9E 5C2014 04 29.32861 15 08 08.78 -27 04 28.5                L~1CsMW84
     K14HJ9E 5C2014 04 29.33184 15 08 08.37 -27 04 28.8                L~1CsMW84
     K14HJ9E 5C2014 04 29.33507 15 08 07.95 -27 04 29.0                L~1CsMW84
     K14HJ9E 5C2014 05 02.31113 15 02 57.52 -27 09 07.3          22.7 VL~1CsMW84
     K14HJ9E 5C2014 05 02.31433 15 02 57.18 -27 09 07.2                L~1CsMW84
     K14HJ9E 5C2014 05 02.31749 15 02 56.83 -27 09 07.1                L~1CsMW84
     K14HJ9E 5C2014 05 02.32075 15 02 56.49 -27 09 07.0                L~1CsMW84
     K14HJ9E 5C2014 05 02.32392 15 02 56.13 -27 09 06.9                L~1CsMW84
