     K14HJ7S*5C2014 04 24.17039 14 12 00.74 -10 12 34.4          22.3 VL~1CsKW84
     K14HJ7S 5C2014 04 24.17358 14 12 02.54 -10 12 12.8                L~1CsKW84
     K14HJ7S 5C2014 04 24.17677 14 12 04.35 -10 11 51.0                L~1CsKW84
     K14HJ7S 5C2014 04 24.18002 14 12 06.13 -10 11 29.4                L~1CsKW84
     K14HJ7S 5C2014 04 24.18324 14 12 07.99 -10 11 07.2                L~1CsKW84
     K14HJ7S 5C2014 04 24.21785 14 12 27.12 -10 07 15.0          22.9 VL~1CsKW84
     K14HJ7S 5C2014 04 24.22081 14 12 28.96 -10 06 52.7                L~1DsIW84
     K14HJ7S 5C2014 04 24.22418 14 12 30.61 -10 06 32.4                L~1CsKW84
     K14HJ7S 5C2014 04 24.22736 14 12 32.34 -10 06 11.4                L~1CsKW84
     K14HJ7S 5C2014 04 24.23031 14 12 34.14 -10 05 49.7                L~1DsIW84
     K14HJ7S 5C2014 04 25.21940 14 20 47.32 -08 39 24.9          23.1 VL~1CsKW84
     K14HJ7S 5C2014 04 25.22259 14 20 48.35 -08 39 11.9                L~1CsKW84
     K14HJ7S 5C2014 04 25.22574 14 20 49.36 -08 38 58.7                L~1CsKW84
     K14HJ7S 5C2014 04 25.22891 14 20 50.42 -08 38 45.0                L~1CsKW84
     K14HJ7S 5C2014 04 25.23209 14 20 51.39 -08 38 32.2                L~1CsKW84
