     K14HJ7T*5C2014 04 24.17599 14 03 13.51 -09 26 27.2          23.5 VL~1CsKW84
     K14HJ7T 5C2014 04 24.17923 14 03 14.09 -09 26 33.8                L~1CsKW84
     K14HJ7T 5C2014 04 24.18245 14 03 14.67 -09 26 40.3                L~1CsKW84
     K14HJ7T 5C2014 04 25.16818 14 07 15.75 -10 03 15.4          23.4 VL~1CsKW84
     K14HJ7T 5C2014 04 25.17133 14 07 16.44 -10 03 22.9                L~1CsKW84
     K14HJ7T 5C2014 04 25.17456 14 07 17.19 -10 03 31.1                L~1CsKW84
     K14HJ7T 5C2014 04 25.17780 14 07 17.93 -10 03 39.2                L~1CsKW84
     K14HJ7T 5C2014 04 25.18104 14 07 18.66 -10 03 47.3                L~1CsKW84
     K14HJ7T 5C2014 04 26.17033 14 12 20.08 -10 49 16.2          23.3 VL~1CsKW84
     K14HJ7T 5C2014 04 26.17351 14 12 21.02 -10 49 26.3                L~1CsKW84
     K14HJ7T 5C2014 04 26.17669 14 12 21.93 -10 49 35.8                L~1CsKW84
