     K14W00A* C2014 11 16.26812 03 06 54.38 +12 50 26.4          18.3 Vq~1CNZ703
     K14W00A  C2014 11 16.27312 03 07 14.64 +12 55 17.9          17.6 Vq~1CNZ703
     K14W00A  C2014 11 16.27813 03 07 34.35 +13 00 01.3          18.6 Vq~1CNZ703
     K14W00A  C2014 11 16.28315 03 07 55.08 +13 04 59.6          17.6 Vq~1CNZ703
     K14W00A  C2014 11 16.37135 03 14 14.80 +14 33 59.3          17.6 Vq~1CNZ703
     K14W00A  C2014 11 16.37162 03 14 16.01 +14 34 15.6          17.6 Vq~1CNZ703
     K14W00A  C2014 11 16.37189 03 14 17.25 +14 34 33.6          17.9 Vq~1CNZ703
     K14W00A  C2014 11 16.37216 03 14 18.50 +14 34 50.5          17.4 Vq~1CNZ703
     K14W00A  C2014 11 16.37243 03 14 19.71 +14 35 06.4          18.1 Vq~1CNZ703
     K14W00A  C2014 11 16.47069 03 22 28.49 +16 22 36.5          17.9 Vq~1CNZ703
     K14W00A  C2014 11 16.47096 03 22 30.03 +16 22 53.4          17.7 Vq~1CNZ703
     K14W00A  C2014 11 16.47123 03 22 31.41 +16 23 11.9          17.8 Vq~1CNZ703
     K14W00A  C2014 11 16.47150 03 22 32.97 +16 23 32.2          18.1 Vq~1CNZ703
     K14W00A  C2014 11 16.47176 03 22 34.32 +16 23 50.0          17.3 Vq~1CNZ703
     K14W00A  C2014 11 16.47239 03 23 59.02 +16 50 39.8          17.0 Rt~1CNZ474
     K14W00A  C2014 11 16.47365 03 24 05.80 +16 52 10.0          17.5 Rt~1CNZ474
     K14W00A  C2014 11 16.47524 03 24 14.24 +16 54 04.0          16.1 Rt~1CNZ474
     K14W00A  C2014 11 16.47571 03 24 16.71 +16 54 36.9          17.1 Rt~1CNZ474
     K14W00A  C2014 11 16.47602 03 24 18.41 +16 55 00.2          16.8 Rt~1CNZ474
     K14W00A  C2014 11 16.47714 03 24 24.28 +16 56 20.2          16.8 Rt~1CNZ474
     K14W00A  C2014 11 16.47729 03 24 25.16 +16 56 30.9          17.2 Rt~1CNZ474
     K14W00A  C2014 11 16.47776 03 24 27.68 +16 57 04.6          17.7 Rt~1CNZ474
     K14W00A  C2014 11 16.47823 03 23 09.65 +16 31 14.2          17.9 Vq~1CNZ703
     K14W00A  C2014 11 16.47855 03 23 11.30 +16 31 35.5          17.4 Vq~1CNZ703
     K14W00A  C2014 11 16.47856 03 24 31.87 +16 58 02.4          17.8 Rt~1CNZ474
     K14W00A  C2014 11 16.47888 03 23 13.37 +16 32 02.1          18.6 Vq~1CNZ703
     K14W00A  C2014 11 16.47921 03 23 14.95 +16 32 21.1          17.2 Vq~1CNa703
     K14W00A  C2014 11 16.47953 03 23 16.74 +16 32 44.1          17.2 Vq~1CNa703
     K14W00A  C2014 11 16.54907 03 31 51.72 +17 59 20.5          17.6 Ro~1CNa300
     K14W00A  C2014 11 16.54979 03 31 55.96 +18 00 15.8          17.6 Ro~1CNa300
     K14W00A  C2014 11 16.55177 03 32 07.62 +18 02 47.4          17.7 Ro~1CNa300
     K14W00A  C2014 11 16.55236 03 32 11.12 +18 03 32.8          17.7 Ro~1CNa300
     K14W00A  C2014 11 16.55294 03 32 14.59 +18 04 18.0          17.7 Ro~1CNa300
     K14W00A  C2014 11 16.55470 03 32 24.97 +18 06 33.3          17.3 Ro~1CNa300
     K14W00A  C2014 11 16.55530 03 32 28.47 +18 07 18.5          17.4 Ro~1CNa300
     K14W00A  C2014 11 16.55588 03 32 31.95 +18 08 03.6          17.4 Ro~1CNa300
     K14W00A  C2014 11 16.82075 04 06 44.35 +24 19 14.1                q~1CNa246
     K14W00A  C2014 11 16.82093 04 06 45.91 +24 19 30.5                q~1CNa246
     K14W00A  C2014 11 16.82109 04 06 47.41 +24 19 47.3                q~1CNa246
     K14W00A  C2014 11 16.82126 04 06 48.92 +24 20 04.1                q~1CNa246
     K14W00A  C2014 11 16.82174 04 06 53.19 +24 20 49.6                q~1CNa246
     K14W00A  C2014 11 16.82192 04 06 54.87 +24 21 08.2                q~1CNa246
     K14W00A  C2014 11 16.82209 04 06 56.49 +24 21 24.6                q~1CNa246
     K14W00A  C2014 11 16.87307 04 14 50.83 +25 44 58.7                q~1CNa246
     K14W00A  C2014 11 16.87322 04 14 52.26 +25 45 13.3                q~1CNa246
     K14W00A  C2014 11 16.87334 04 14 53.53 +25 45 26.8                q~1CNa246
     K14W00A  C2014 11 16.87350 04 14 54.91 +25 45 41.0                q~1CNa246
     K14W00A  C2014 11 16.87363 04 14 56.31 +25 45 55.8                q~1CNa246
     K14W00A  C2014 11 16.87380 04 14 57.80 +25 46 11.4                q~1CNa246
     K14W00A  C2014 11 16.87398 04 14 59.52 +25 46 28.6                q~1CNa246
     K14W00A  C2014 11 16.87414 04 15 01.13 +25 46 45.0                q~1CNa246
     K14W00A  C2014 11 16.87434 04 15 03.09 +25 47 06.0                q~1CNa246
     K14W00A  C2014 11 16.87451 04 15 04.77 +25 47 23.4                q~1CNa246
