     K15KF8G 5C2015 05 20.97691 14 47 43.87 -23 48 55.9          21.2 VL~1T31W84
     K15KF8G 5C2015 05 20.98015 14 47 45.21 -23 49 07.2                L~1T31W84
     K15KF8G 5C2015 05 20.98337 14 47 46.54 -23 49 18.1                L~1T31W84
     K15KF8G 5C2015 05 20.98664 14 47 47.88 -23 49 29.6                L~1T31W84
     K15KF8G 5C2015 05 20.98985 14 47 49.20 -23 49 40.7                L~1T31W84
     K15KF8G tC2015 05 21.33200514 50 13.566-24 09 39.62         21.2 Rt~1UdWF51
     K15KF8G tC2015 05 21.34418714 50 17.259-24 10 12.48         21.0 Rt~1UdWF51
     K15KF8G tC2015 05 21.35633414 50 20.909-24 10 44.42         21.2 Rt~1UdWF51
     K15KF8G tC2015 05 21.36845914 50 24.504-24 11 15.56         21.1 Rt~1UdWF51
     K15KF8G*5C2015 05 23.02528 14 59 59.55 -24 59 52.0          22.0 VL~1T31W84
     K15KF8G 5C2015 05 23.02856 15 00 00.23 -24 59 58.3                L~1T31W84
     K15KF8G 5C2015 05 23.03177 15 00 00.90 -25 00 04.3                L~1T31W84
     K15KF8G 5C2015 05 24.01719 15 04 05.11 -25 21 28.4          22.4 VL~1T31W84
     K15KF8G 5C2015 05 24.02369 15 04 06.19 -25 21 38.3                L~1T31W84
     K15KF8G 5C2015 05 24.02686 15 04 06.71 -25 21 43.2                L~1T31W84
     K15KF8G 5C2015 05 24.03004 15 04 07.22 -25 21 47.9                L~1T31W84
