     K15KG0H* C2015 05 26.23332 15 40 15.86 -09 26 16.4          20.7 Vq~1TlYG96
     K15KG0H  C2015 05 26.23867 15 40 13.35 -09 26 25.5          20.4 Vq~1TlYG96
     K15KG0H  C2015 05 26.24403 15 40 10.74 -09 26 35.2          21.2 Vq~1TlYG96
     K15KG0H  C2015 05 26.24938 15 40 08.18 -09 26 44.6          20.7 Vq~1TlYG96
     K15KG0H  C2015 05 26.32309 15 39 34.08 -09 28 46.5                q~1TlYG96
     K15KG0H  C2015 05 26.32371 15 39 33.78 -09 28 47.7                q~1TlYG96
     K15KG0H  C2015 05 26.32432 15 39 33.52 -09 28 48.5          20.7 Vq~1TlYG96
     K15KG0H  C2015 05 26.32494 15 39 33.21 -09 28 49.8          20.5 Vq~1TlYG96
     K15KG0H  C2015 05 26.32555 15 39 32.93 -09 28 50.7          20.9 Vq~1TlYG96
     K15KG0H  C2015 05 26.40942 15 38 56.84 -09 30 56.4          20.6 Vq~1TlYG96
     K15KG0H  C2015 05 26.41003 15 38 56.64 -09 30 57.1          20.7 Vq~1TlYG96
     K15KG0H  C2015 05 26.41065 15 38 56.37 -09 30 58.1          21.2 Vq~1TlYG96
     K15KG0H  C2015 05 26.41126 15 38 56.10 -09 30 58.8          20.9 Vq~1TlYG96
     K15KG0H  C2015 05 26.41187 15 38 55.84 -09 30 59.8          20.5 Vq~1TlYG96
     K15KG0H  C2015 05 27.18418 15 35 20.60 -09 46 49.2          21.8 Vq~1TlYG96
     K15KG0H  C2015 05 27.18552 15 35 20.25 -09 46 50.6          21.8 Vq~1TlYG96
     K15KG0H  C2015 05 27.18619 15 35 20.08 -09 46 51.4          21.3 Vq~1TlYG96
     K15KG0H  C2015 05 27.18686 15 35 19.93 -09 46 52.1          21.9 Vq~1TlYG96
