     K16C30H* C2016 02 03.42224 10 48 56.381+24 01 57.56         20.1 wL~1l6qF51
     K16C30H  C2016 02 03.43412 10 48 57.939+24 04 14.89         20.2 wL~1l6qF51
     K16C30H  C2016 02 03.44602 10 48 59.423+24 06 32.08         20.3 wL~1l6qF51
     K16C30H  C2016 02 03.45801 10 49 00.809+24 08 49.46         20.2 wL~1l6qF51
     K16C30H  C2016 02 06.29205 11 36 21.47 +43 36 58.2          19.7 Vq~1l6q703
     K16C30H  C2016 02 06.29708 11 36 33.11 +43 41 39.1          19.1 Vq~1l6q703
     K16C30H  C2016 02 06.30214 11 36 44.86 +43 46 23.6          18.6 Vq~1l6q703
     K16C30H  C2016 02 06.30719 11 36 56.59 +43 51 06.2          18.1 Vq~1l6q703
     K16C30H  C2016 02 06.34360111 38 15.92 +44 25 30.4          18.6 Vt~1l6qH01
     K16C30H  C2016 02 06.35897211 38 52.66 +44 40 09.5          18.8 Vt~1l6qH01
     K16C30H  C2016 02 06.36543311 39 08.21 +44 46 19.8          18.9 Vt~1l6qH01
     K16C30H  C2016 02 06.36810 11 39 21.99 +44 49 16.5          18.9 Vq~1l6qI52
     K16C30H  C2016 02 06.36839 11 39 22.58 +44 49 31.7          18.1 Vq~1l6qI52
     K16C30H  C2016 02 06.36869 11 39 23.32 +44 49 49.2          18.1 Vq~1l6qI52
     K16C30H  C2016 02 06.36898 11 39 24.04 +44 50 06.2          17.8 Vq~1l6qI52
     K16C30H  C2016 02 06.37482311 39 30.98 +44 55 18.8          18.5 Vt~1l6qH01
     K16C30H  C2016 02 06.38063 11 39 52.34 +45 01 20.6          18.3 Vq~1l6q703
     K16C30H  C2016 02 06.38213 11 39 56.08 +45 02 46.3          18.0 Vq~1l6q703
     K16C30H  C2016 02 06.38366 11 39 59.77 +45 04 15.4          17.7 Vq~1l6q703
     K16C30H  C2016 02 06.38523 11 40 03.67 +45 05 46.0          18.1 Vq~1l6q703
     K16C30H  C2016 02 06.49732 11 45 03.55 +46 54 53.4          18.0 Vq~1l6qI52
     K16C30H  C2016 02 06.49762 11 45 04.41 +46 55 11.0          18.3 Vq~1l6qI52
     K16C30H  C2016 02 06.49791 11 45 05.29 +46 55 28.4          18.2 Vq~1l6qI52
     K16C30H  C2016 02 06.49821 11 45 06.14 +46 55 45.7          18.2 Vq~1l6qI52
     K16C30H  C2016 02 07.01156 12 36 15.22 +57 08 26.6                q~1l6q246
     K16C30H  C2016 02 07.01171 12 36 16.52 +57 08 40.9                q~1l6q246
     K16C30H  C2016 02 07.01193 12 36 18.36 +57 08 59.1                q~1l6q246
     K16C30H  C2016 02 07.01205 12 36 19.31 +57 09 10.4                q~1l6q246
     K16C30H  C2016 02 07.01218 12 36 20.34 +57 09 20.8                q~1l6q246
     K16C30H  C2016 02 07.01229 12 36 21.24 +57 09 30.2                q~1l6q246
     K16C30H  C2016 02 07.01240 12 36 22.14 +57 09 39.3                q~1l6q246
     K16C30H  C2016 02 07.35692 13 53 27.76 +65 05 36.5          18.0 Ro~1l6q926
     K16C30H  C2016 02 07.35763 13 53 40.45 +65 06 33.9          18.4 Ro~1l6q926
     K16C30H  C2016 02 07.35833 13 53 52.94 +65 07 30.4          18.1 Ro~1l6q926
     K16C30H  C2016 02 07.53802 14 58 05.81 +68 26 02.7          18.7 Ru~1l6q926
     K16C30H  C2016 02 07.53943 14 58 41.30 +68 27 07.2          18.5 Ru~1l6q926
     K16C30H  C2016 02 07.54085 14 59 16.91 +68 28 12.4          19.0 Ru~1l6q926
