     K16F13X*5C2016 03 30.18778 11 47 13.52 -04 55 43.9          23.3 VL~1pSyW84
     K16F13X 5C2016 03 30.19098 11 47 13.09 -04 55 41.3                L~1pSyW84
     K16F13X 5C2016 03 30.19414 11 47 12.67 -04 55 38.7                L~1pSyW84
     K16F13X 5C2016 03 30.19731 11 47 12.24 -04 55 35.7                L~1pSyW84
     K16F13X 5C2016 03 30.20050 11 47 11.82 -04 55 33.1                L~1pSyW84
     K16F13X 5C2016 03 31.14858 11 45 40.69 -04 43 08.5          22.7 VL~1pSyW84
     K16F13X 5C2016 03 31.15180 11 45 40.32 -04 43 06.1                L~1pSyW84
     K16F13X 5C2016 03 31.15499 11 45 39.95 -04 43 03.7                L~1pSyW84
     K16F13X 5C2016 03 31.15817 11 45 39.59 -04 43 01.5                L~1pSyW84
     K16F13X 5C2016 03 31.16136 11 45 39.20 -04 42 59.1                L~1pSyW84
     K16F13X 5C2016 04 01.16298 11 44 16.13 -04 31 32.7          23.4 VL~1pSyW84
     K16F13X 5C2016 04 01.16617 11 44 15.81 -04 31 30.8                L~1pSyW84
     K16F13X 5C2016 04 01.16934 11 44 15.49 -04 31 28.6                L~1pSyW84
     K16F13X 5C2016 04 01.17250 11 44 15.17 -04 31 26.7                L~1pSyW84
     K16F13X 2C2016 04 06.41675811 39 48.696-03 51 14.14         23.4 Rt~1qBR568
     K16F13X 2C2016 04 06.42836111 39 48.130-03 51 10.18         23.3 Rt~1qBR568
